	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	157.230.249.84:8888	中国 甘肃 陇南 移动	HTTP代理	2.68	84天 16小时 16分钟 5秒	535	2019年5月28日 00:51
1	高匿代理服务	114.113.222.218:80	中国 北京 北京 联通	HTTP代理	0.52	37天 20小时 36分钟 48秒	47	2019年5月28日 00:51
2	高匿代理服务	49.81.125.232:9000	中国 江苏 徐州 电信	HTTP代理	0.61	88天 4小时 33分钟 4秒	19	2019年5月28日 00:51
3	高匿代理服务	177.206.170.19:8080	中国 上海 上海 松江科技	HTTP代理	2.81	103天 0小时 43分钟 39秒	681	2019年5月28日 00:51
4	高匿代理服务	113.121.47.55:808	中国 山东 烟台 电信	HTTP代理	2.75	110天 18小时 10分钟 40秒	73	2019年5月28日 00:51
5	高匿代理服务	103.9.188.143:54991	中国 广西 崇左 联通	HTTP代理	6.28	174天 7小时 4分钟 6秒	3712	2019年5月28日 00:51
6	高匿代理服务	200.8.74.247:8080	中国 北京 北京 互联网服务商联盟	HTTP代理	6.89	148天 10小时 50分钟 35秒	9	2019年5月28日 00:51
7	高匿代理服务	150.242.24.242:34499	中国 湖南 长沙 移动	HTTP代理	5.3	61天 7小时 33分钟 20秒	93	2019年5月28日 00:51
8	高匿代理服务	185.26.197.146:58012	中国 贵州 铜仁 电信	HTTP代理	6.09	92天 2小时 58分钟 46秒	2912	2019年5月28日 00:51
9	高匿代理服务	190.201.165.107:8080	中国 河南 漯河 联通	HTTP代理	5.9	90天 23小时 57分钟 11秒	117	2019年5月28日 00:51
10	高匿代理服务	58.55.148.70:9999	中国 湖北 鄂州 电信	HTTP代理	1.11	148天 10小时 48分钟 17秒	19	2019年5月28日 00:51
11	高匿代理服务	61.7.168.207:8080	中国 北京 北京 Amazon	HTTP代理	2.44	84天 8小时 29分钟 56秒	18	2019年5月28日 00:51
12	高匿代理服务	115.42.34.81:8888	中国 河南 郑州 移动	HTTP代理	4.82	77天 5小时 46分钟 18秒	136	2019年5月28日 00:51
13	高匿代理服务	117.4.243.172:40606	中国 香港  华为云	HTTP代理	5.18	116天 13小时 43分钟 46秒	4229	2019年5月28日 00:51
14	高匿代理服务	36.76.126.244:8080	中国 贵州 毕节 移动	HTTP代理	2.77	166天 14小时 23分钟 7秒	495	2019年5月28日 00:51
15	高匿代理服务	1.10.186.212:38757	中国 黑龙江 佳木斯 电信	HTTP代理	6.51	153天 10小时 45分钟 27秒	1554	2019年5月28日 00:51
16	高匿代理服务	176.237.74.109:8080	中国 台湾  臣翊网络	HTTP代理	3.5	66天 11小时 13分钟 15秒	17	2019年5月28日 00:51
17	高匿代理服务	113.122.170.164:9999	中国 山东 日照 电信	HTTP代理	1.21	128天 11小时 8分钟 59秒	19	2019年5月28日 00:51
18	高匿代理服务	131.196.141.61:33729	中国 上海 上海 铁通	HTTP代理	5.03	116天 21小时 6分钟 33秒	1568	2019年5月28日 00:51
19	高匿代理服务	185.132.251.201:80	中国 广西 玉林 电信	HTTP代理	2.07	128天 22小时 27分钟 29秒	42	2019年5月28日 00:51
20	高匿代理服务	103.81.104.137:8080	中国 湖南 郴州 电信	HTTP代理	6.08	82天 19小时 31分钟 28秒	1519	2019年5月28日 00:51
21	高匿代理服务	79.100.109.21:53281	中国 江苏 连云港 教育网	HTTP代理	2.49	94天 12小时 42分钟 1秒	3234	2019年5月28日 00:51
22	高匿代理服务	41.211.116.134:32979	中国 山西 临汾 联通	HTTP代理	2.97	22天 22小时 29分钟 14秒	154	2019年5月28日 00:51
23	高匿代理服务	1.197.204.45:9999	中国 河南 濮阳 电信	HTTP代理	1.39	96天 16小时 14分钟 1秒	19	2019年5月28日 00:51
24	高匿代理服务	180.251.169.2:80	中国 辽宁 辽阳 联通	HTTP代理	0.82	153天 22小时 4分钟 1秒	2114	2019年5月28日 00:51
25	高匿代理服务	163.125.248.100:8118	中国 广东 深圳 联通	HTTP代理	4.19	166天 6小时 56分钟 6秒	54	2019年5月28日 00:51
26	高匿代理服务	124.122.154.228:8888	中国 山东 潍坊 联通	HTTP代理	4.09	143天 13小时 13分钟 10秒	15	2019年5月28日 00:51
27	高匿代理服务	36.81.151.103:8080	中国 广东 深圳 阿里云	HTTP代理	3.48	68天 10小时 18分钟 44秒	388	2019年5月28日 00:51
28	高匿代理服务	218.77.183.125:8080	中国 海南 海口 电信	HTTP代理	6.67	166天 14小时 4分钟 34秒	336	2019年5月28日 00:51
29	高匿代理服务	190.200.3.60:8080	中国 湖南  移动	HTTP代理	6.28	11天 1小时 49分钟 24秒	9	2019年5月28日 00:51
30	高匿代理服务	190.77.203.2:8080	中国 北京 北京 铁通	HTTP代理	5.54	145天 1小时 28分钟 4秒	89	2019年5月28日 00:51
31	高匿代理服务	125.122.149.207:9000	中国 浙江 杭州 电信	HTTP代理	0.89	88天 1小时 3分钟 17秒	38	2019年5月28日 00:51
32	高匿代理服务	178.245.166.188:8080	中国 山东 烟台 移动	HTTP代理	3.51	27天 7小时 30分钟 8秒	18	2019年5月28日 00:51
33	高匿代理服务	45.71.151.175:49896	中国 山东 滨州 电信	HTTP代理	5.69	166天 7小时 8分钟 26秒	1862	2019年5月28日 00:51
34	高匿代理服务	39.76.140.73:9999	中国 山东 临沂 联通	HTTP代理	2.72	121天 11小时 0分钟 47秒	12	2019年5月28日 00:51
35	高匿代理服务	114.40.235.129:80	中国 台湾 嘉义 中華電信	HTTP代理	1.92	99天 12小时 30分钟 17秒	18	2019年5月28日 00:51
36	高匿代理服务	163.204.244.216:9999	中国 广东 汕尾 联通	HTTP代理	1.62	100天 9小时 19分钟 56秒	67	2019年5月28日 00:51
