	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	35.247.59.248:3128	中国 北京 北京 康盛新创	HTTP代理	4.83	14天 22小时 50分钟 20秒	740	2019年5月28日 00:56
1	高匿代理服务	190.202.193.5:8080	中国 山东 临沂 联通	HTTP代理	6.84	99天 15小时 23分钟 25秒	68	2019年5月28日 00:56
2	高匿代理服务	124.11.210.236:80	中国 台湾 桃园	HTTP代理	1.21	122天 12小时 31分钟 53秒	262	2019年5月28日 00:56
3	高匿代理服务	156.202.15.72:8080	中国 浙江 嘉兴 电信	HTTP代理	5.92	144天 7小时 28分钟 25秒	403	2019年5月28日 00:56
4	高匿代理服务	94.74.182.112:23500	中国 广西  移动/基站WiFi	HTTP代理	4.47	105天 0小时 55分钟 56秒	85	2019年5月28日 00:56
5	高匿代理服务	180.183.216.100:8080	中国 山西 大同 联通	HTTP代理	1.77	119天 1小时 47分钟 58秒	531	2019年5月28日 00:56
6	高匿代理服务	101.108.173.197:8080	中国 台湾 高雄	HTTP代理	2.75	149天 8小时 19分钟 24秒	35	2019年5月28日 00:56
7	高匿代理服务	36.90.89.163:8080	中国 广东 广州 华为云	HTTP代理	2.96	113天 18小时 30分钟 20秒	578	2019年5月28日 00:56
8	高匿代理服务	103.241.227.116:40548	中国 四川 成都 电信	HTTP代理	4.34	88天 22小时 36分钟 2秒	3474	2019年5月28日 00:56
9	高匿代理服务	146.88.36.160:8080	中国 广东 广州 天地祥云	HTTP代理	2.61	21天 17小时 44分钟 58秒	37	2019年5月28日 00:56
10	高匿代理服务	110.232.249.245:8080	中国 河南 洛阳 联通	HTTP代理	3.77	67天 18小时 53分钟 20秒	70	2019年5月28日 00:56
11	高匿代理服务	103.105.109.213:84	中国 浙江 嘉兴 联通	HTTP代理	3.12	28天 7小时 44分钟 9秒	715	2019年5月28日 00:56
12	高匿代理服务	222.208.249.216:8060	中国 四川 达州 电信	HTTP代理	0.7	166天 10小时 3分钟 18秒	135	2019年5月28日 00:56
13	高匿代理服务	117.95.117.9:9999	中国 江苏 淮安 电信	HTTP代理	1.12	110天 16小时 41分钟 43秒	19	2019年5月28日 00:55
14	高匿代理服务	183.148.141.223:9999	中国 浙江 台州 电信	HTTP代理	2.31	142天 4小时 26分钟 2秒	37	2019年5月28日 00:55
