	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	186.92.7.181:8080	中国 香港  中移国际	HTTP代理	2.51	107天 22小时 10分钟 56秒	28	2019年5月28日 01:02
1	高匿代理服务	217.12.212.150:40221	中国 吉林 吉林 移动	HTTP代理	4.45	179天 6小时 25分钟 45秒	1363	2019年5月28日 01:02
2	高匿代理服务	109.74.40.34:8080	中国 辽宁 大连 小鸟云	HTTP代理	6.93	80天 21小时 48分钟 26秒	89	2019年5月28日 01:02
3	高匿代理服务	138.36.40.54:38127	中国 湖南 湘潭 联通	HTTP代理	4.85	144天 6小时 35分钟 14秒	1128	2019年5月28日 01:02
4	高匿代理服务	171.80.139.23:9999	中国 湖北 荆州 电信	HTTP代理	1.31	143天 11小时 59分钟 39秒	19	2019年5月28日 01:02
5	高匿代理服务	74.84.146.72:3128	中国 云南 丽江 电信	HTTP代理	5.95	110天 22小时 38分钟 55秒	79	2019年5月28日 01:02
6	高匿代理服务	217.12.212.150:46405	中国 黑龙江 大庆 移动	HTTP代理	4.16	105天 4小时 31分钟 5秒	269	2019年5月28日 01:02
7	高匿代理服务	202.61.120.201:30804	中国 香港	HTTP代理	4.35	115天 11小时 21分钟 44秒	23	2019年5月28日 01:02
8	高匿代理服务	202.61.120.1:40911	中国 香港	HTTP代理	5.12	73天 8小时 15分钟 23秒	38	2019年5月28日 01:02
9	高匿代理服务	134.249.158.227:36824	中国 北京 北京 腾讯云/国际节点	HTTP代理	1.56	178天 12小时 47分钟 19秒	31425	2019年5月28日 01:02
10	高匿代理服务	182.44.220.98:9999	中国 山东 日照 电信	HTTP代理	1.15	136天 20小时 0分钟 39秒	38	2019年5月28日 01:02
11	高匿代理服务	101.94.0.197:8123	中国 上海 上海 电信	HTTP代理	1.11	151天 12小时 55分钟 50秒	96	2019年5月28日 01:02
12	高匿代理服务	124.120.172.174:8888	中国 内蒙古 呼伦贝尔 电信	HTTP代理	3.45	90天 14小时 23分钟 41秒	18	2019年5月28日 01:02
13	高匿代理服务	118.175.240.205:41475	中国 河北 邯郸 电信	HTTP代理	3.34	129天 14小时 23分钟 53秒	821	2019年5月28日 01:02
14	高匿代理服务	51.77.33.34:8888	中国 辽宁 营口 联通	HTTP代理	6.54	78天 23小时 1分钟 29秒	214	2019年5月28日 01:02
