	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	115.148.175.57:9000	中国 江西 南昌 电信	HTTP代理	0.59	176天 17小时 44分钟 11秒	77	2019年5月28日 00:50
1	高匿代理服务	151.237.57.145:59712	中国 吉林 长春 联通	HTTP代理	2.26	63天 23小时 44分钟 29秒	137	2019年5月28日 00:50
2	高匿代理服务	179.182.150.68:8080	中国 安徽 宿州 移动	HTTP代理	4.42	161天 19小时 2分钟 42秒	273	2019年5月28日 00:50
3	高匿代理服务	115.218.212.161:9000	中国 浙江 温州 电信	HTTP代理	0.64	62天 6小时 8分钟 4秒	77	2019年5月28日 00:50
4	高匿代理服务	186.93.63.163:8080	中国 广东 佛山 电信	HTTP代理	2.08	5天 20小时 46分钟 4秒	22	2019年5月28日 00:50
5	高匿代理服务	58.54.136.68:9999	中国 湖北 荆州 电信	HTTP代理	2.86	110天 16小时 16分钟 46秒	16	2019年5月28日 00:50
6	高匿代理服务	190.207.205.214:8080	中国 澳门  澳門電訊	HTTP代理	2.94	93天 16小时 34分钟 28秒	43	2019年5月28日 00:50
7	高匿代理服务	111.177.180.217:9999	中国 湖北 随州 电信	HTTP代理	1.19	121天 18小时 37分钟 51秒	36	2019年5月28日 00:50
8	高匿代理服务	119.76.132.166:3128	中国 广东 惠州 电信	HTTP代理	4.59	16天 5小时 42分钟 10秒	436	2019年5月28日 00:50
9	高匿代理服务	122.142.204.124:8080	中国 吉林 四平 联通	HTTP代理	1.18	143天 21小时 32分钟 37秒	224	2019年5月28日 00:50
10	高匿代理服务	200.8.240.51:8080	中国 四川 成都 腾讯云	HTTP代理	3.88	90天 21小时 1分钟 41秒	95	2019年5月28日 00:50
11	高匿代理服务	117.70.38.23:9999	中国 安徽 池州 电信	HTTP代理	1.13	148天 10小时 16分钟 40秒	19	2019年5月28日 00:50
12	高匿代理服务	177.23.104.38:61872	中国 广东 东莞 联通	HTTP代理	2.96	153天 10小时 17分钟 24秒	1300	2019年5月28日 00:50
13	高匿代理服务	115.46.73.165:8123	中国 广西 北海 联通	HTTP代理	1.43	110天 17小时 3分钟 35秒	16	2019年5月28日 00:50
14	高匿代理服务	200.8.108.179:8080	中国 辽宁 鞍山 联通	HTTP代理	3.78	43天 19小时 31分钟 39秒	11	2019年5月28日 00:50
15	高匿代理服务	203.89.29.198:50079	中国 广东 广州 腾讯云/国际节点	HTTP代理	4.97	178天 12小时 36分钟 52秒	3114	2019年5月28日 00:50
16	高匿代理服务	191.97.26.168:51401	中国 湖北 武汉 联通	HTTP代理	5.24	177天 2小时 42分钟 6秒	24	2019年5月28日 00:50
17	高匿代理服务	58.55.134.46:9999	中国 湖北 鄂州 电信	HTTP代理	1.09	142天 3小时 44分钟 57秒	36	2019年5月28日 00:50
18	高匿代理服务	103.31.45.106:23500	中国 天津 天津 电信	HTTP代理	2.84	178天 12小时 38分钟 28秒	9533	2019年5月28日 00:50
19	高匿代理服务	134.35.104.2:8080	中国 浙江 杭州 爱名网络	HTTP代理	3.33	72天 0小时 1分钟 32秒	65	2019年5月28日 00:50
20	高匿代理服务	1.10.189.66:53774	中国 贵州 遵义 移动	HTTP代理	2.82	122天 18小时 39分钟 8秒	2530	2019年5月28日 00:50
21	高匿代理服务	36.66.220.173:48208	中国 河北 邯郸 电信	HTTP代理	2.97	92天 6小时 48分钟 39秒	1333	2019年5月28日 00:50
22	高匿代理服务	94.180.249.78:37181	中国 山西 太原 电信	HTTP代理	3.39	138天 5小时 56分钟 49秒	2161	2019年5月28日 00:50
23	高匿代理服务	183.148.143.44:9999	中国 浙江 台州 电信	HTTP代理	1.21	139天 9小时 35分钟 2秒	19	2019年5月28日 00:50
24	高匿代理服务	5.59.141.78:45629	中国 北京 北京 电信	HTTP代理	3.5	120天 17小时 39分钟 24秒	20576	2019年5月28日 00:50
25	高匿代理服务	190.203.70.154:8080	中国 云南 红河 电信	HTTP代理	2.61	57天 19小时 48分钟 54秒	43	2019年5月28日 00:50
26	高匿代理服务	201.208.111.158:8080	中国 重庆 重庆 京宽网络	HTTP代理	3.48	168天 20小时 36分钟 37秒	17	2019年5月28日 00:50
27	高匿代理服务	125.110.104.156:9000	中国 浙江 温州 电信	HTTP代理	0.63	84天 8小时 55分钟 0秒	19	2019年5月28日 00:50
28	高匿代理服务	103.87.169.232:8080	中国 甘肃 天水 联通	HTTP代理	5.92	39天 3小时 26分钟 1秒	22	2019年5月28日 00:50
29	高匿代理服务	95.216.24.3:3128	中国 山东 青岛 鹏博士	HTTP代理	5.33	154天 19小时 32分钟 9秒	9778	2019年5月28日 00:50
30	高匿代理服务	104.198.194.210:3128	中国 湖北 宜昌 电信	HTTP代理	6.07	99天 13小时 7分钟 18秒	146	2019年5月28日 00:50
31	高匿代理服务	131.196.184.208:55983	中国 重庆 重庆 腾讯云	HTTP代理	2.27	146天 10小时 27分钟 16秒	327	2019年5月28日 00:50
