	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	163.125.233.146:8118	中国 广东 深圳 联通	HTTP代理	1.07	155天 9小时 1分钟 43秒	205	2019年5月28日 00:55
1	高匿代理服务	189.109.140.243:52082	中国 广东 佛山 移动	HTTP代理	5.13	152天 17小时 32分钟 12秒	387	2019年5月28日 00:55
2	高匿代理服务	114.239.150.198:9999	中国 江苏 宿迁 电信	HTTP代理	1.0	130天 17小时 12分钟 19秒	19	2019年5月28日 00:55
3	高匿代理服务	5.1.104.98:42618	中国 台湾  台灣固網	HTTP代理	1.97	169天 6小时 57分钟 51秒	469	2019年5月28日 00:55
4	高匿代理服务	119.101.113.187:9999	中国 湖北 潜江 电信	HTTP代理	1.29	151天 6小时 8分钟 17秒	770	2019年5月28日 00:55
5	高匿代理服务	117.90.7.128:9000	中国 江苏 镇江 电信	HTTP代理	0.61	170天 12小时 19分钟 18秒	19	2019年5月28日 00:55
6	高匿代理服务	113.128.26.59:9999	中国 山东 济南 电信	HTTP代理	1.2	96天 17小时 8分钟 17秒	19	2019年5月28日 00:55
7	高匿代理服务	58.55.198.10:9999	中国 湖北 鄂州 电信	HTTP代理	1.13	139天 8小时 38分钟 17秒	19	2019年5月28日 00:55
8	高匿代理服务	182.23.98.10:44933	中国 山东 滨州 联通	HTTP代理	4.79	124天 0小时 14分钟 31秒	15	2019年5月28日 00:55
9	高匿代理服务	122.4.42.41:9999	中国 山东 济南 电信	HTTP代理	1.16	149天 11小时 42分钟 55秒	19	2019年5月28日 00:55
10	高匿代理服务	171.41.84.168:9999	中国 湖北 黄冈 电信	HTTP代理	2.11	113天 1小时 23分钟 26秒	18	2019年5月28日 00:55
11	高匿代理服务	163.125.233.105:8118	中国 广东 深圳 联通	HTTP代理	2.51	154天 8小时 52分钟 52秒	149	2019年5月28日 00:55
12	高匿代理服务	111.177.170.44:9999	中国 湖北 随州 电信	HTTP代理	1.26	151天 16小时 23分钟 53秒	113	2019年5月28日 00:55
13	高匿代理服务	110.74.216.190:49480	中国 西藏 拉萨 移动	HTTP代理	3.17	153天 9小时 7分钟 50秒	1656	2019年5月28日 00:55
14	高匿代理服务	187.102.50.247:8080	中国 黑龙江 伊春 联通	HTTP代理	5.52	84天 19小时 31分钟 14秒	493	2019年5月28日 00:55
15	高匿代理服务	79.188.18.186:8080	中国 重庆 重庆	HTTP代理	0.99	37天 14小时 42分钟 17秒	1427	2019年5月28日 00:55
16	高匿代理服务	87.251.238.156:58445	中国 河南 南阳 电信	HTTP代理	4.27	135天 3小时 56分钟 8秒	2724	2019年5月28日 00:55
17	高匿代理服务	111.177.187.70:9999	中国 湖北 随州 电信	HTTP代理	1.1	145天 11小时 25分钟 13秒	161	2019年5月28日 00:55
18	高匿代理服务	181.120.146.211:31009	中国 北京 北京 云方舟	HTTP代理	3.73	171天 14小时 4分钟 30秒	1957	2019年5月28日 00:55
19	高匿代理服务	124.41.213.36:55958	中国 江苏 镇江 电信	HTTP代理	4.65	159天 7小时 7分钟 28秒	18	2019年5月28日 00:55
20	高匿代理服务	115.151.7.125:9999	中国 江西 宜春 电信	HTTP代理	1.38	126天 21小时 27分钟 24秒	186	2019年5月28日 00:55
21	高匿代理服务	183.129.207.86:12799	中国 浙江 杭州 电信	HTTP代理	1.57	42天 9小时 54分钟 49秒	37	2019年5月28日 00:55
22	高匿代理服务	115.223.196.55:9000	中国 浙江 温州 电信	HTTP代理	0.66	176天 13小时 45分钟 55秒	19	2019年5月28日 00:55
23	高匿代理服务	124.12.51.167:80	中国 台湾  台灣固網	HTTP代理	1.34	158天 23小时 55分钟 32秒	19	2019年5月28日 00:55
24	高匿代理服务	111.177.171.54:9999	中国 湖北 随州 电信	HTTP代理	1.1	149天 15小时 16分钟 51秒	56	2019年5月28日 00:55
25	高匿代理服务	45.251.72.162:8080	中国 青海 海东 电信	HTTP代理	3.23	178天 12小时 43分钟 30秒	4129	2019年5月28日 00:55
26	高匿代理服务	125.26.231.229:8080	中国 山东 聊城 电信	HTTP代理	5.13	69天 9小时 18分钟 38秒	205	2019年5月28日 00:55
27	高匿代理服务	212.56.218.90:48333	中国 江苏  电信/基站WiFi	HTTP代理	5.25	116天 17小时 31分钟 35秒	9049	2019年5月28日 00:55
28	高匿代理服务	5.228.211.189:33032	中国 江苏 扬州 电信	HTTP代理	2.03	68天 20小时 7分钟 54秒	649	2019年5月28日 00:55
29	高匿代理服务	201.210.59.180:8080	中国 安徽 芜湖 电信	HTTP代理	5.14	110天 23小时 44分钟 42秒	148	2019年5月28日 00:55
30	高匿代理服务	201.242.61.92:8080	中国 浙江 宁波 移动	HTTP代理	5.72	90天 16小时 4分钟 40秒	69	2019年5月28日 00:55
31	高匿代理服务	58.11.127.58:8888	中国 广西 贺州 联通	HTTP代理	5.18	113天 2小时 16分钟 9秒	10	2019年5月28日 00:55
32	高匿代理服务	45.71.150.136:8080	中国 辽宁 阜新 铁通	HTTP代理	4.38	145天 23小时 41分钟 9秒	517	2019年5月28日 00:55
33	高匿代理服务	111.179.22.154:9999	中国 湖北 咸宁 电信	HTTP代理	1.18	151天 10小时 3分钟 7秒	19	2019年5月28日 00:55
34	高匿代理服务	103.70.144.102:47648	中国 重庆 重庆 移动	HTTP代理	3.42	171天 16小时 11分钟 49秒	2174	2019年5月28日 00:55
35	高匿代理服务	163.204.243.188:9999	中国 广东 汕尾 联通	HTTP代理	1.5	121天 21小时 56分钟 9秒	35	2019年5月28日 00:55
36	高匿代理服务	180.119.141.25:9999	中国 江苏 扬州 电信	HTTP代理	1.06	126天 19小时 28分钟 11秒	57	2019年5月28日 00:55
37	高匿代理服务	114.106.135.18:9999	中国 安徽 池州 电信	HTTP代理	1.26	126天 9小时 37分钟 8秒	19	2019年5月28日 00:55
38	高匿代理服务	179.92.166.53:8080	中国 台湾  學術網路	HTTP代理	3.26	157天 12小时 26分钟 13秒	86	2019年5月28日 00:55
39	高匿代理服务	58.50.0.4:9999	中国 湖北 荆州 电信	HTTP代理	2.79	136天 19小时 40分钟 11秒	54	2019年5月28日 00:55
40	高匿代理服务	189.126.76.127:56600	中国 香港  腾讯云/国际节点	HTTP代理	5.31	118天 21小时 14分钟 54秒	438	2019年5月28日 00:55
41	高匿代理服务	121.228.52.190:3128	中国 江苏 苏州 电信	HTTP代理	1.36	57天 15小时 23分钟 48秒	19	2019年5月28日 00:55
42	高匿代理服务	119.101.117.23:9999	中国 湖北 潜江 电信	HTTP代理	2.18	145天 11小时 19分钟 27秒	248	2019年5月28日 00:55
43	高匿代理服务	190.200.56.16:8080	中国 河南 鹤壁 电信	HTTP代理	5.63	145天 1小时 23分钟 41秒	79	2019年5月28日 00:55
44	高匿代理服务	183.89.113.131:8080	中国 辽宁 沈阳 教育网	HTTP代理	2.37	11天 1小时 37分钟 17秒	1774	2019年5月28日 00:55
45	高匿代理服务	134.35.201.207:8080	中国 四川 自贡 联通	HTTP代理	2.87	121天 13小时 20分钟 49秒	17	2019年5月28日 00:55
46	高匿代理服务	138.117.84.12:8080	中国 湖南 长沙 联通	HTTP代理	2.49	109天 18小时 15分钟 40秒	1288	2019年5月28日 00:55
47	高匿代理服务	118.174.232.16:34984	中国 河南 新乡 新飞金信	HTTP代理	5.54	82天 17小时 4分钟 34秒	2389	2019年5月28日 00:55
48	高匿代理服务	180.241.239.59:8080	中国 云南 丽江 电信	HTTP代理	5.61	69天 9小时 22分钟 41秒	191	2019年5月28日 00:55
49	高匿代理服务	189.113.109.140:35405	中国 北京 北京 百度	HTTP代理	5.2	126天 15小时 14分钟 4秒	2721	2019年5月28日 00:55
