	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	125.123.137.125:9000	中国 浙江 嘉兴 电信	HTTP代理	3.17	160天 17小时 20分钟 41秒	509	2019年5月28日 01:00
1	高匿代理服务	122.116.67.146:57240	中国 台湾 台北 中華電信	HTTP代理	1.4	130天 5小时 59分钟 12秒	1355	2019年5月28日 01:00
2	高匿代理服务	190.198.27.46:8080	中国 广东 韶关 电信	HTTP代理	3.84	90天 15小时 26分钟 0秒	34	2019年5月28日 01:00
3	高匿代理服务	103.54.60.126:8081	中国 香港	HTTP代理	6.19	115天 12小时 23分钟 28秒	4722	2019年5月28日 01:00
4	高匿代理服务	113.128.25.139:9999	中国 山东 济南 电信	HTTP代理	2.09	113天 1小时 48分钟 40秒	19	2019年5月28日 01:00
5	高匿代理服务	117.62.233.198:9999	中国 江苏 南京 电信	HTTP代理	1.06	145天 1小时 14分钟 35秒	39	2019年5月28日 01:00
6	高匿代理服务	186.148.172.194:51246	中国 广东 佛山 联通	HTTP代理	2.48	154天 12小时 1分钟 59秒	408	2019年5月28日 01:00
7	高匿代理服务	36.74.161.24:80	中国 贵州 黔西南 电信	HTTP代理	3.87	152天 17小时 52分钟 47秒	35	2019年5月28日 01:00
8	高匿代理服务	47.75.52.59:8080	中国 香港  阿里云	HTTP代理	1.22	153天 2小时 48分钟 37秒	249	2019年5月28日 01:00
9	高匿代理服务	2.38.27.64:8080	中国 新疆 哈密 电信	HTTP代理	0.95	146天 21小时 45分钟 30秒	204	2019年5月28日 01:00
10	高匿代理服务	163.125.115.153:8118	中国 广东 深圳 联通	HTTP代理	2.61	177天 21小时 13分钟 44秒	302	2019年5月28日 01:00
11	高匿代理服务	197.32.250.65:8080	中国 北京 北京 网宽天地	HTTP代理	2.86	128天 19小时 25分钟 47秒	256	2019年5月28日 01:00
12	高匿代理服务	45.115.176.157:50611	中国 四川 南充 联通	HTTP代理	2.81	69天 1小时 26分钟 27秒	17	2019年5月28日 01:00
13	高匿代理服务	120.34.214.123:9999	中国 福建 南平 电信	HTTP代理	1.77	110天 22小时 54分钟 44秒	18	2019年5月28日 01:00
14	高匿代理服务	176.237.47.155:8080	中国 湖北 孝感 电信	HTTP代理	2.33	2天 0小时 55分钟 42秒	18	2019年5月28日 01:00
15	高匿代理服务	109.73.176.244:8080	中国 江苏 南通 联通	HTTP代理	4.63	71天 20小时 12分钟 12秒	12	2019年5月28日 01:00
16	高匿代理服务	170.81.141.249:30577	中国 江苏 徐州 移动	HTTP代理	4.83	126天 16小时 35分钟 10秒	1720	2019年5月28日 01:00
17	高匿代理服务	111.181.35.255:9999	中国 湖北 鄂州 电信	HTTP代理	1.13	136天 21小时 53分钟 10秒	115	2019年5月28日 01:00
18	高匿代理服务	171.80.113.247:9999	中国 湖北 襄阳 电信	HTTP代理	4.79	143天 11小时 54分钟 6秒	17	2019年5月28日 01:00
19	高匿代理服务	117.196.232.82:35313	中国 福建 宁德 电信	HTTP代理	5.86	99天 20小时 20分钟 57秒	266	2019年5月28日 01:00
20	高匿代理服务	197.211.39.7:31885	中国 山东 菏泽 移动	HTTP代理	2.23	171天 14小时 19分钟 35秒	2292	2019年5月28日 01:00
21	高匿代理服务	91.196.103.215:32827	中国 河北 沧州 联通	HTTP代理	2.3	137天 9小时 56分钟 22秒	512	2019年5月28日 01:00
22	高匿代理服务	163.204.245.76:9999	中国 广东 汕尾 联通	HTTP代理	2.21	103天 0小时 59分钟 45秒	52	2019年5月28日 01:00
23	高匿代理服务	190.53.46.14:33655	中国 山东 菏泽 移动	HTTP代理	1.59	130天 19小时 29分钟 57秒	113	2019年5月28日 01:00
24	高匿代理服务	110.77.212.127:8080	中国 四川 泸州 电信	HTTP代理	2.24	102天 16小时 31分钟 44秒	448	2019年5月28日 01:00
25	高匿代理服务	124.122.178.188:8888	中国 湖南 常德 联通	HTTP代理	6.79	139天 8小时 49分钟 7秒	16	2019年5月28日 01:00
26	高匿代理服务	169.255.82.38:58207	中国 广东 广州 电信	HTTP代理	4.92	98天 18小时 7分钟 37秒	1041	2019年5月28日 01:00
27	高匿代理服务	111.177.182.78:9999	中国 湖北 随州 电信	HTTP代理	1.2	149天 15小时 43分钟 23秒	33	2019年5月28日 01:00
28	高匿代理服务	43.228.130.216:8080	中国 河北 石家庄 电信	HTTP代理	1.96	177天 13小时 2分钟 49秒	293	2019年5月28日 01:00
29	高匿代理服务	109.74.39.5:8080	中国 黑龙江 绥化 联通	HTTP代理	4.47	40天 23小时 37分钟 9秒	49	2019年5月28日 01:00
30	高匿代理服务	197.234.44.61:8083	中国 江西 南昌 电信	HTTP代理	3.85	45天 19小时 35分钟 4秒	244	2019年5月28日 01:00
31	高匿代理服务	180.175.91.179:63000	中国 上海 上海 电信	HTTP代理	1.3	169天 11小时 5分钟 15秒	12	2019年5月28日 01:00
32	高匿代理服务	27.195.216.52:8118	中国 山东 淄博 联通	HTTP代理	0.5	26天 12小时 14分钟 31秒	233	2019年5月28日 01:00
33	高匿代理服务	184.82.75.85:8080	中国 陕西 西安 广电网	HTTP代理	4.55	119天 14小时 47分钟 28秒	2584	2019年5月28日 01:00
34	高匿代理服务	123.207.66.220:1080	中国 广东 广州 腾讯云	HTTP代理	6.05	178天 12小时 46分钟 18秒	10097	2019年5月28日 01:00
35	高匿代理服务	180.253.169.162:3128	中国 河南 三门峡 联通	HTTP代理	3.85	2天 1小时 7分钟 43秒	11	2019年5月28日 01:00
36	高匿代理服务	186.95.27.247:8080	中国 吉林 辽源 联通	HTTP代理	4.34	2天 1小时 54分钟 43秒	18	2019年5月28日 01:00
37	高匿代理服务	217.12.212.150:304	中国 浙江 杭州 华数	HTTP代理	4.24	178天 12小时 26分钟 17秒	1189	2019年5月28日 01:00
38	高匿代理服务	115.210.28.21:9000	中国 浙江 金华 电信	HTTP代理	0.8	169天 23小时 26分钟 51秒	19	2019年5月28日 01:00
39	高匿代理服务	1.2.169.44:36201	中国 陕西 西安 电信	HTTP代理	3.13	159天 5小时 38分钟 7秒	36	2019年5月28日 01:00
40	高匿代理服务	144.202.3.139:10056	中国 广东 深圳 电信	HTTP代理	3.12	74天 3小时 46分钟 18秒	364	2019年5月28日 01:00
41	高匿代理服务	27.208.90.198:8060	中国 山东 威海 联通	HTTP代理	0.61	135天 23小时 28分钟 38秒	675	2019年5月28日 01:00
42	高匿代理服务	92.112.46.239:39240	中国 北京 北京 世纪互联	HTTP代理	1.74	124天 12小时 21分钟 9秒	290	2019年5月28日 01:00
43	高匿代理服务	190.207.86.98:8080	中国 山东 济宁 电信	HTTP代理	5.7	87天 16小时 37分钟 53秒	28	2019年5月28日 01:00
44	高匿代理服务	117.90.5.24:9000	中国 江苏 镇江 电信	HTTP代理	0.56	42天 11小时 0分钟 58秒	34	2019年5月28日 01:00
45	高匿代理服务	163.125.19.33:8888	中国 广东 深圳 联通	HTTP代理	3.92	122天 10小时 42分钟 33秒	471	2019年5月28日 01:00
46	高匿代理服务	183.148.133.129:9999	中国 浙江 台州 电信	HTTP代理	1.21	130天 16小时 48分钟 24秒	19	2019年5月28日 01:00
47	高匿代理服务	144.202.3.139:10783	中国 香港  宽频	HTTP代理	4.1	63天 13小时 22分钟 18秒	1032	2019年5月28日 01:00
48	高匿代理服务	49.49.72.96:8080	中国 贵州 遵义 电信	HTTP代理	1.88	94天 6小时 5分钟 2秒	3089	2019年5月28日 01:00
49	高匿代理服务	186.88.50.85:8080	中国 广东 广州 移动	HTTP代理	5.06	70天 18小时 11分钟 53秒	77	2019年5月28日 01:00
