	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	125.164.166.74:8080	中国 河南 信阳 电信	HTTP代理	6.46	55天 6小时 49分钟 53秒	848	2019年5月28日 00:56
1	高匿代理服务	121.227.142.9:9999	中国 江苏 苏州 电信	HTTP代理	1.26	121天 10小时 9分钟 43秒	19	2019年5月28日 00:56
2	高匿代理服务	27.24.166.105:9999	中国 湖北 咸宁 电信	HTTP代理	1.62	145天 4小时 3分钟 20秒	107	2019年5月28日 00:56
3	高匿代理服务	27.145.233.120:80	中国 新疆 阿克苏 电信	HTTP代理	3.09	85天 18小时 16分钟 29秒	1531	2019年5月28日 00:56
4	高匿代理服务	61.90.2.241:8888	中国 辽宁 朝阳 联通	HTTP代理	5.5	90天 14小时 59分钟 52秒	34	2019年5月28日 00:56
5	高匿代理服务	58.55.198.52:9999	中国 湖北 鄂州 电信	HTTP代理	4.29	139天 9小时 3分钟 36秒	9	2019年5月28日 00:56
6	高匿代理服务	31.176.167.48:8080	中国 吉林 吉林 移动	HTTP代理	6.03	152天 19小时 34分钟 0秒	65	2019年5月28日 00:56
7	高匿代理服务	186.92.156.108:8080	中国 江苏 盐城 移动	HTTP代理	2.46	124天 2小时 6分钟 25秒	35	2019年5月28日 00:56
8	高匿代理服务	221.237.65.131:5555	中国 四川 成都 电信	HTTP代理	0.62	157天 10小时 25分钟 3秒	58	2019年5月28日 00:56
9	高匿代理服务	117.42.202.162:9999	中国 江西 宜春 电信	HTTP代理	1.84	100天 9小时 31分钟 36秒	38	2019年5月28日 00:56
10	高匿代理服务	183.148.152.60:9999	中国 浙江 台州 电信	HTTP代理	1.12	148天 20小时 22分钟 49秒	32	2019年5月28日 00:56
11	高匿代理服务	186.225.81.221:63141	中国 山东 泰安 电信	HTTP代理	3.87	32天 13小时 2分钟 33秒	10	2019年5月28日 00:56
12	高匿代理服务	186.92.86.8:8080	中国 陕西 西安 教育网	HTTP代理	5.75	130天 18小时 33分钟 56秒	37	2019年5月28日 00:56
13	高匿代理服务	190.38.42.214:8080	中国 吉林 长春 电信	HTTP代理	6.77	80天 22小时 14分钟 38秒	58	2019年5月28日 00:56
14	高匿代理服务	190.85.138.3:45339	中国 江西 鹰潭 移动	HTTP代理	2.01	91天 6小时 16分钟 42秒	5341	2019年5月28日 00:56
15	高匿代理服务	170.82.6.228:8080	中国 江西 上饶 电信	HTTP代理	4.17	57天 14小时 8分钟 8秒	68	2019年5月28日 00:56
16	高匿代理服务	113.120.33.237:9999	中国 山东 济南 电信	HTTP代理	1.54	139天 8小时 51分钟 15秒	19	2019年5月28日 00:56
17	高匿代理服务	74.84.146.84:3128	中国 广东 珠海 电信	HTTP代理	3.98	110天 22小时 58分钟 43秒	122	2019年5月28日 00:56
18	高匿代理服务	116.209.52.129:9999	中国 湖北 仙桃 电信	HTTP代理	2.53	108天 4小时 14分钟 55秒	132	2019年5月28日 00:56
19	高匿代理服务	115.223.253.170:9000	中国 浙江 温州 电信	HTTP代理	0.62	177天 11小时 34分钟 35秒	38	2019年5月28日 00:56
20	高匿代理服务	190.201.185.12:8080	中国 黑龙江 大庆 油田宽带	HTTP代理	5.28	80天 21小时 10分钟 46秒	42	2019年5月28日 00:56
21	高匿代理服务	27.208.69.211:8060	中国 山东 威海 联通	HTTP代理	0.53	163天 16小时 3分钟 19秒	601	2019年5月28日 00:56
22	高匿代理服务	201.242.32.12:8080	中国 安徽 芜湖 电信	HTTP代理	5.05	137天 0小时 24分钟 19秒	158	2019年5月28日 00:56
23	高匿代理服务	223.27.114.26:57181	中国 山东 泰安 联通	HTTP代理	3.22	158天 20小时 9分钟 48秒	1611	2019年5月28日 00:56
24	高匿代理服务	124.12.211.224:80	中国 台湾 台北	HTTP代理	1.38	87天 15小时 43分钟 33秒	19	2019年5月28日 00:56
25	高匿代理服务	119.101.112.83:9999	中国 湖北 潜江 电信	HTTP代理	1.23	154天 14小时 42分钟 50秒	834	2019年5月28日 00:56
26	高匿代理服务	93.77.115.167:41870	中国 浙江 温州 联通	HTTP代理	5.57	171天 16小时 8分钟 32秒	795	2019年5月28日 00:56
27	高匿代理服务	36.65.172.61:8080	中国 香港  台灣固網	HTTP代理	4.0	84天 19小时 1分钟 50秒	455	2019年5月28日 00:56
28	高匿代理服务	59.32.37.61:3128	中国 广东 河源 电信	HTTP代理	1.51	76天 12小时 39分钟 41秒	19	2019年5月28日 00:56
29	高匿代理服务	202.61.120.77:34700	中国 香港	HTTP代理	2.7	90天 12小时 54分钟 41秒	17	2019年5月28日 00:56
30	高匿代理服务	113.120.32.17:9999	中国 山东 济南 电信	HTTP代理	4.42	143天 11小时 13分钟 42秒	15	2019年5月28日 00:56
31	高匿代理服务	117.196.237.21:8080	中国 山东 济南 移动	HTTP代理	5.16	40天 14小时 4分钟 12秒	631	2019年5月28日 00:56
32	高匿代理服务	201.15.66.169:8080	中国 甘肃 陇南 移动	HTTP代理	4.32	40天 18小时 33分钟 0秒	23	2019年5月28日 00:56
33	高匿代理服务	74.84.146.79:3128	中国 北京 北京 美团	HTTP代理	6.28	110天 22小时 58分钟 42秒	107	2019年5月28日 00:56
34	高匿代理服务	115.218.216.161:9000	中国 浙江 温州 电信	HTTP代理	4.14	170天 0小时 41分钟 28秒	16	2019年5月28日 00:56
35	高匿代理服务	190.73.26.234:8080	中国 四川 绵阳 西部数码/电信	HTTP代理	2.3	153天 1小时 9分钟 7秒	111	2019年5月28日 00:56
36	高匿代理服务	136.25.2.43:45030	中国 广东 深圳 润迅通信/BGP多线/电信	HTTP代理	3.15	128天 17小时 7分钟 36秒	3030	2019年5月28日 00:56
37	高匿代理服务	49.49.67.112:8080	中国 陕西 延安 电信	HTTP代理	1.7	29天 7小时 41分钟 19秒	56	2019年5月28日 00:56
38	高匿代理服务	49.51.86.2:3128	中国 香港  新世界电讯	HTTP代理	1.12	16天 18小时 30分钟 23秒	115	2019年5月28日 00:56
39	高匿代理服务	14.115.105.107:808	中国 广东 中山 电信	HTTP代理	3.47	67天 20小时 44分钟 48秒	52	2019年5月28日 00:56
40	高匿代理服务	125.25.16.236:8080	中国 吉林 长春 联通	HTTP代理	3.24	90天 21小时 48分钟 15秒	304	2019年5月28日 00:56
41	高匿代理服务	134.35.119.226:8080	中国 天津 天津 移动	HTTP代理	5.29	153天 2小时 59分钟 58秒	147	2019年5月28日 00:56
42	高匿代理服务	119.101.113.99:9999	中国 湖北 潜江 电信	HTTP代理	1.16	130天 20小时 8分钟 31秒	123	2019年5月28日 00:56
43	高匿代理服务	36.81.122.117:8080	中国 湖北 咸宁 电信	HTTP代理	5.01	74天 15小时 17分钟 1秒	65	2019年5月28日 00:56
