	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	203.130.205.234:51424	中国 北京 北京 方正宽带/电信/联通	HTTP代理	2.03	91天 12小时 55分钟 32秒	17865	2019年5月28日 01:04
1	高匿代理服务	176.192.35.2:45198	中国 广东 清远 电信	HTTP代理	4.17	8天 17小时 50分钟 1秒	1087	2019年5月28日 01:04
2	高匿代理服务	96.9.87.2:8080	中国 广东 广州 新一代/联通/电信	HTTP代理	4.08	178天 12小时 49分钟 59秒	55406	2019年5月28日 01:04
3	高匿代理服务	24.227.222.124:53281	中国 山西 阳泉 联通	HTTP代理	4.98	107天 23小时 8分钟 43秒	3347	2019年5月28日 01:04
4	高匿代理服务	117.102.127.130:8080	中国 上海 上海 数讯信息	HTTP代理	6.35	62天 2小时 45分钟 39秒	2706	2019年5月28日 01:04
5	高匿代理服务	46.243.108.72:56786	中国 安徽 六安 联通	HTTP代理	6.21	9天 22小时 34分钟 28秒	1907	2019年5月28日 01:04
6	高匿代理服务	5.202.120.126:60080	中国 辽宁 大连 小鸟云	HTTP代理	5.71	2天 16小时 48分钟 25秒	196	2019年5月28日 01:04
7	高匿代理服务	117.102.68.210:53281	中国 陕西 汉中 电信	HTTP代理	2.31	178天 12小时 51分钟 8秒	46341	2019年5月28日 01:04
8	高匿代理服务	5.133.27.61:3129	中国 陕西 汉中 铁通	HTTP代理	3.9	60天 0小时 27分钟 10秒	14127	2019年5月28日 01:04
9	高匿代理服务	94.228.21.66:31518	中国 香港  有線電視	HTTP代理	6.43	11天 20小时 44分钟 49秒	3352	2019年5月28日 01:04
10	高匿代理服务	63.249.67.70:53281	中国 山东 青岛 鹏博士	HTTP代理	6.57	178天 12小时 53分钟 14秒	54125	2019年5月28日 01:04
11	高匿代理服务	125.162.175.234:80	中国 广东 汕尾 电信	HTTP代理	1.08	5天 2小时 27分钟 16秒	3355	2019年5月28日 01:04
12	高匿代理服务	124.158.167.170:8080	中国 湖北 武汉 联通	HTTP代理	4.34	16天 18小时 36分钟 54秒	3533	2019年5月28日 01:04
13	高匿代理服务	83.175.238.170:53281	中国 新疆 乌鲁木齐 新国信	HTTP代理	3.82	178天 12小时 51分钟 40秒	37639	2019年5月28日 01:04
14	高匿代理服务	205.201.36.227:53281	中国 四川 攀枝花 联通	HTTP代理	3.1	178天 12小时 50分钟 42秒	51469	2019年5月28日 01:04
