	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	115.42.33.50:80	中国 广东 汕尾 联通	HTTP代理	4.52	76天 7小时 14分钟 59秒	146	2019年5月28日 01:06
1	高匿代理服务	83.168.86.169:8090	中国 北京 北京 蓝汛通信/联通/电信/移动	HTTP代理	4.61	107天 19小时 32分钟 4秒	23379	2019年5月28日 01:06
2	高匿代理服务	151.106.10.98:1080	中国 河南 濮阳 电信	HTTP代理	3.78	67天 12小时 30分钟 47秒	12270	2019年5月28日 01:06
3	高匿代理服务	200.69.66.46:9991	中国 西藏 拉萨 电信	HTTP代理	6.53	17天 0小时 55分钟 29秒	3777	2019年5月28日 01:06
4	高匿代理服务	203.188.248.52:23500	中国 台湾 屏东 中華電信	HTTP代理	3.31	178天 12小时 53分钟 31秒	47480	2019年5月28日 01:06
5	高匿代理服务	156.239.12.72:6604	中国 江苏 宿迁 电信	HTTP代理	5.76	22小时 23分钟 38秒	276	2019年5月28日 01:06
6	高匿代理服务	96.87.184.101:43705	中国 安徽 铜陵 铁通	HTTP代理	4.41	146天 18小时 39分钟 59秒	34402	2019年5月28日 01:06
7	高匿代理服务	158.58.132.12:56962	中国 辽宁 鞍山 联通	HTTP代理	5.24	216天 4小时 16分钟 56秒	225941	2019年5月28日 01:05
8	高匿代理服务	103.78.181.210:8080	中国 四川 自贡 电信	HTTP代理	5.32	4小时 48分钟 0秒	92	2019年5月28日 01:05
9	高匿代理服务	120.79.62.89:3128	中国 广东 深圳 阿里云	HTTP代理	3.44	17小时 22分钟 39秒	480	2019年5月28日 01:05
10	高匿代理服务	119.46.146.58:8080	中国 吉林 辽源 联通	HTTP代理	6.47	178天 12小时 52分钟 35秒	29215	2019年5月28日 01:05
11	高匿代理服务	103.87.207.188:31983	中国 广西  移动/基站WiFi	HTTP代理	5.98	9天 11小时 42分钟 47秒	3470	2019年5月28日 01:05
12	高匿代理服务	113.254.47.1:80	中国 香港	HTTP代理	0.82	7小时 25分钟 3秒	164	2019年5月28日 01:05
13	高匿代理服务	200.127.155.219:8080	中国 天津 天津 电信	HTTP代理	6.04	82天 22小时 55分钟 53秒	8243	2019年5月28日 01:05
14	高匿代理服务	87.252.238.192:3128	中国 台湾 屏东 中華電信	HTTP代理	1.39	87天 20小时 52分钟 17秒	35943	2019年5月28日 01:05
15	高匿代理服务	46.151.157.115:50893	中国 江苏 无锡 移动	HTTP代理	4.29	222天 14小时 56分钟 19秒	272778	2019年5月28日 01:05
16	高匿代理服务	118.151.209.203:63141	中国 宁夏 固原 电信	HTTP代理	5.79	55天 1小时 25分钟 38秒	10140	2019年5月28日 01:05
17	高匿代理服务	80.107.187.228:8081	中国 江西 上饶 联通	HTTP代理	5.65	1天 0小时 18分钟 59秒	566	2019年5月28日 01:05
