	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	111.181.33.66:9999	中国 湖北 鄂州 电信	HTTP代理	1.1	132天 21小时 46分钟 56秒	58	2019年5月28日 00:56
1	高匿代理服务	169.239.188.58:48807	中国 福建 漳州 电信	HTTP代理	5.02	50天 13小时 19分钟 53秒	194	2019年5月28日 00:56
2	高匿代理服务	36.72.102.151:8080	中国 陕西 西安 电信	HTTP代理	3.28	122天 11小时 6分钟 38秒	619	2019年5月28日 00:56
3	高匿代理服务	114.239.172.168:9999	中国 江苏 宿迁 电信	HTTP代理	1.16	148天 10小时 11分钟 28秒	19	2019年5月28日 00:56
4	高匿代理服务	112.85.131.235:9999	中国 江苏 南通 联通	HTTP代理	2.18	111天 15小时 10分钟 30秒	94	2019年5月28日 00:56
5	高匿代理服务	49.76.232.155:8123	中国 江苏 无锡 电信	HTTP代理	1.77	87天 15小时 39分钟 39秒	19	2019年5月28日 00:56
6	高匿代理服务	159.192.198.130:8080	中国 台湾 新竹 台湾固网	HTTP代理	2.68	152天 5小时 34分钟 16秒	457	2019年5月28日 00:56
7	高匿代理服务	86.57.136.230:3128	中国 北京 北京 电信/联通	HTTP代理	1.29	40天 0小时 5分钟 9秒	2903	2019年5月28日 00:56
8	高匿代理服务	115.218.212.90:9000	中国 浙江 温州 电信	HTTP代理	0.55	69天 13小时 33分钟 51秒	115	2019年5月28日 00:56
9	高匿代理服务	183.89.176.65:8080	中国 江苏  电信/基站WiFi	HTTP代理	1.7	80天 23小时 15分钟 57秒	227	2019年5月28日 00:56
10	高匿代理服务	118.174.234.138:38718	中国 云南 怒江 电信	HTTP代理	2.29	153天 14小时 13分钟 14秒	1709	2019年5月28日 00:56
11	高匿代理服务	111.177.188.90:9999	中国 湖北 随州 电信	HTTP代理	5.43	133天 16小时 47分钟 9秒	165	2019年5月28日 00:56
12	高匿代理服务	190.186.76.19:8197	中国 福建 三明 电信	HTTP代理	1.18	2天 13小时 3分钟 36秒	337	2019年5月28日 00:56
13	高匿代理服务	125.110.97.61:9000	中国 浙江 温州 电信	HTTP代理	3.56	65天 2小时 45分钟 47秒	11	2019年5月28日 00:56
14	高匿代理服务	183.147.22.2:9000	中国 浙江 金华 电信	HTTP代理	0.72	162天 0小时 10分钟 7秒	19	2019年5月28日 00:56
15	高匿代理服务	218.72.92.105:9999	中国 浙江 杭州 电信	HTTP代理	1.37	126天 8小时 27分钟 36秒	3349	2019年5月28日 00:56
16	高匿代理服务	1.20.101.91:44405	中国 河北 石家庄 联通	HTTP代理	2.24	130天 8小时 54分钟 18秒	1352	2019年5月28日 00:56
17	高匿代理服务	58.50.1.233:9999	中国 湖北 荆州 电信	HTTP代理	1.78	115天 12小时 14分钟 25秒	15	2019年5月28日 00:56
18	高匿代理服务	5.58.198.154:61838	中国 黑龙江 哈尔滨 电信	HTTP代理	1.45	135天 5小时 5分钟 37秒	3546	2019年5月28日 00:56
