	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	1.10.189.112:42669	中国 陕西 榆林 移动	HTTP代理	4.85	83天 4小时 23分钟 23秒	19281	2019年5月28日 01:03
1	高匿代理服务	1.202.245.84:8080	中国 北京 北京 电信	HTTP代理	4.29	60天 6小时 25分钟 27秒	14200	2019年5月28日 01:03
2	高匿代理服务	177.238.248.106:54419	中国 广东 广州 UCloud云计算	HTTP代理	4.3	152天 5小时 19分钟 49秒	8512	2019年5月28日 01:03
3	高匿代理服务	118.172.201.91:39181	中国 江苏 无锡 电信/联通	HTTP代理	5.25	80天 16小时 23分钟 37秒	16868	2019年5月28日 01:03
4	高匿代理服务	188.94.225.137:8080	中国 甘肃 兰州 教育网	HTTP代理	6.16	178天 12小时 46分钟 40秒	3629	2019年5月28日 01:03
5	高匿代理服务	202.51.86.36:8080	中国 香港  安畅	HTTP代理	3.1	16天 21小时 33分钟 8秒	124	2019年5月28日 01:03
6	高匿代理服务	5.27.133.47:8080	中国 江西 赣州 电信	HTTP代理	3.0	143天 11小时 56分钟 24秒	18	2019年5月28日 01:03
7	高匿代理服务	111.177.168.219:9999	中国 湖北 随州 电信	HTTP代理	1.09	145天 15小时 7分钟 7秒	131	2019年5月28日 01:03
8	高匿代理服务	218.87.239.195:9999	中国 江西 宜春 电信	HTTP代理	1.04	59天 2小时 7分钟 28秒	19	2019年5月28日 01:03
9	高匿代理服务	27.218.252.163:8118	中国 山东 临沂 联通	HTTP代理	1.08	159天 11小时 25分钟 26秒	50	2019年5月28日 01:03
10	高匿代理服务	180.117.102.174:9999	中国 江苏 盐城 电信	HTTP代理	1.14	110天 15小时 46分钟 43秒	19	2019年5月28日 01:03
11	高匿代理服务	186.96.109.12:9991	中国 上海 上海 金山云/电信	HTTP代理	6.78	66天 2小时 19分钟 34秒	2848	2019年5月28日 01:03
12	高匿代理服务	125.162.56.220:8080	中国 香港  和记环球电讯	HTTP代理	2.5	102天 14小时 55分钟 11秒	389	2019年5月28日 01:03
13	高匿代理服务	190.74.186.130:8080	中国 河北 保定 教育网	HTTP代理	2.82	90天 19小时 47分钟 49秒	153	2019年5月28日 01:03
14	高匿代理服务	190.77.218.120:8080	中国 四川 眉山 联通	HTTP代理	5.78	161天 5小时 11分钟 12秒	13	2019年5月28日 01:03
15	高匿代理服务	180.183.107.233:8080	中国 河北 保定 教育网	HTTP代理	1.61	65天 13小时 41分钟 52秒	686	2019年5月28日 01:03
16	高匿代理服务	112.78.38.28:61188	中国 江苏 镇江 联通	HTTP代理	6.13	13天 6小时 38分钟 35秒	2324	2019年5月28日 01:03
17	高匿代理服务	89.179.86.194:34745	中国 贵州 贵阳 联通	HTTP代理	2.61	153天 10小时 19分钟 55秒	1032	2019年5月28日 01:03
18	高匿代理服务	221.226.162.241:9999	中国 江苏 南京 电信	HTTP代理	1.28	143天 13小时 16分钟 2秒	19	2019年5月28日 01:03
19	高匿代理服务	124.120.157.36:8888	中国 安徽 阜阳 移动	HTTP代理	3.75	90天 15小时 32分钟 46秒	31	2019年5月28日 01:03
20	高匿代理服务	112.95.25.69:8118	中国 广东 深圳 联通	HTTP代理	5.51	32天 1小时 46分钟 2秒	132	2019年5月28日 01:03
21	高匿代理服务	118.96.91.138:8080	中国 广西 桂林 联通	HTTP代理	3.6	62天 2小时 33分钟 34秒	381	2019年5月28日 01:03
22	高匿代理服务	123.58.10.89:8080	中国 北京 北京 电信	HTTP代理	0.96	165天 1小时 31分钟 20秒	3253	2019年5月28日 01:03
23	高匿代理服务	113.122.170.90:9999	中国 山东 日照 电信	HTTP代理	1.17	132天 20小时 29分钟 58秒	19	2019年5月28日 01:03
24	高匿代理服务	58.22.177.250:9999	中国 福建 南平 联通	HTTP代理	1.82	107天 21小时 20分钟 37秒	19	2019年5月28日 01:03
25	高匿代理服务	177.206.71.81:8080	中国 浙江 台州 电信	HTTP代理	3.34	62天 14小时 13分钟 49秒	152	2019年5月28日 01:03
26	高匿代理服务	134.35.66.188:8080	中国 河南 郑州 联通	HTTP代理	4.93	81天 5小时 28分钟 6秒	465	2019年5月28日 01:03
27	高匿代理服务	201.208.53.150:8080	中国 黑龙江 大庆 电信	HTTP代理	6.78	80天 22小时 21分钟 28秒	81	2019年5月28日 01:03
28	高匿代理服务	111.177.188.176:9999	中国 湖北 随州 电信	HTTP代理	1.09	150天 3小时 17分钟 26秒	38	2019年5月28日 01:03
29	高匿代理服务	134.236.24.53:8080	中国 湖南 长沙 联通	HTTP代理	2.42	122天 5小时 49分钟 49秒	565	2019年5月28日 01:03
30	高匿代理服务	112.85.164.139:9999	中国 江苏 南通 联通	HTTP代理	1.26	149天 12小时 46分钟 35秒	19	2019年5月28日 01:03
31	高匿代理服务	125.162.94.17:8080	中国 四川 达州 教育网	HTTP代理	2.56	135天 1小时 40分钟 28秒	142	2019年5月28日 01:03
32	高匿代理服务	130.255.100.236:58399	中国 四川 成都 移动	HTTP代理	2.74	135天 5小时 1分钟 8秒	2686	2019年5月28日 01:03
33	高匿代理服务	123.58.10.33:8080	中国 北京 北京 电信	HTTP代理	0.99	165天 1小时 37分钟 7秒	3278	2019年5月28日 01:03
34	高匿代理服务	134.35.17.114:8080	中国 吉林 长春 电信	HTTP代理	5.73	84天 8小时 34分钟 8秒	14	2019年5月28日 01:03
35	高匿代理服务	181.143.102.50:51281	中国 安徽 宿州 移动	HTTP代理	3.13	101天 23小时 25分钟 5秒	1997	2019年5月28日 01:03
36	高匿代理服务	190.207.38.240:8080	中国 湖北 潜江 电信	HTTP代理	5.88	24天 2小时 22分钟 30秒	16	2019年5月28日 01:03
37	高匿代理服务	182.44.225.229:9999	中国 山东 日照 电信	HTTP代理	1.12	128天 13小时 10分钟 46秒	77	2019年5月28日 01:03
38	高匿代理服务	123.58.9.66:8080	中国 北京 北京 电信	HTTP代理	1.15	161天 11小时 17分钟 15秒	1073	2019年5月28日 01:03
39	高匿代理服务	123.58.10.18:8080	中国 北京 北京 电信	HTTP代理	1.43	165天 3小时 15分钟 39秒	3307	2019年5月28日 01:03
40	高匿代理服务	123.58.10.76:8080	中国 北京 北京 电信	HTTP代理	0.99	165天 3小时 9分钟 55秒	3313	2019年5月28日 01:03
41	高匿代理服务	169.255.152.190:8080	中国 江西 新余 电信	HTTP代理	3.16	89天 4小时 15分钟 8秒	919	2019年5月28日 01:03
42	高匿代理服务	111.177.184.42:9999	中国 湖北 随州 电信	HTTP代理	1.09	129天 12小时 48分钟 39秒	110	2019年5月28日 01:03
43	高匿代理服务	123.58.10.4:8080	中国 北京 北京 电信	HTTP代理	1.0	165天 3小时 15分钟 41秒	3303	2019年5月28日 01:03
44	高匿代理服务	223.215.186.254:9999	中国 安徽 池州 电信	HTTP代理	1.13	148天 15小时 56分钟 39秒	19	2019年5月28日 01:03
45	高匿代理服务	49.81.125.55:9000	中国 江苏 徐州 电信	HTTP代理	2.87	94天 3小时 29分钟 41秒	17	2019年5月28日 01:03
46	高匿代理服务	117.62.232.39:9999	中国 江苏 南京 电信	HTTP代理	1.11	136天 18小时 30分钟 1秒	19	2019年5月28日 01:03
47	高匿代理服务	111.177.172.11:9999	中国 湖北 随州 电信	HTTP代理	1.12	145天 22小时 55分钟 32秒	130	2019年5月28日 01:03
48	高匿代理服务	186.93.154.238:8080	中国 福建 莆田 联通	HTTP代理	4.12	71天 21小时 49分钟 7秒	19	2019年5月28日 01:03
49	高匿代理服务	188.32.212.88:59702	中国 广西 百色 联通	HTTP代理	3.55	122天 20小时 7分钟 18秒	2891	2019年5月28日 01:03
