	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	125.26.99.244:36366	中国 台湾  中嘉和網	HTTP代理	2.33	135天 3小时 56分钟 10秒	2857	2019年5月28日 00:54
1	高匿代理服务	92.52.186.123:50714	中国 山东 滨州 联通	HTTP代理	3.71	64天 2小时 10分钟 55秒	12154	2019年5月28日 00:54
2	高匿代理服务	45.165.176.203:8080	中国 北京 北京 联通/电信	HTTP代理	4.6	9天 17小时 33分钟 57秒	1429	2019年5月28日 00:54
3	高匿代理服务	156.239.12.167:6604	中国 香港  安畅	HTTP代理	1.91	1天 12小时 17分钟 16秒	646	2019年5月28日 00:54
4	高匿代理服务	156.239.12.150:6604	中国 甘肃 酒泉 电信	HTTP代理	3.08	1天 12小时 17分钟 13秒	569	2019年5月28日 00:54
5	高匿代理服务	45.4.84.47:9991	中国 河北 秦皇岛 联通	HTTP代理	4.24	88天 8小时 46分钟 54秒	2596	2019年5月28日 00:54
6	高匿代理服务	103.104.58.13:8080	中国 山西 太原 移动	HTTP代理	3.71	52天 2小时 6分钟 26秒	4136	2019年5月28日 00:54
7	高匿代理服务	210.212.253.203:60497	中国 江西 新余 电信	HTTP代理	6.82	83天 3小时 47分钟 53秒	11354	2019年5月28日 00:54
8	高匿代理服务	188.121.207.90:8080	中国 广东 深圳 天威视讯	HTTP代理	2.53	44天 11小时 1分钟 40秒	10044	2019年5月28日 00:54
9	高匿代理服务	60.10.22.229:63141	中国 河北 廊坊 联通	HTTP代理	1.09	53天 2小时 6分钟 31秒	9762	2019年5月28日 00:54
10	高匿代理服务	84.22.198.26:8080	中国 山东 德州 联通	HTTP代理	5.29	96天 22小时 53分钟 53秒	25526	2019年5月28日 00:54
11	高匿代理服务	125.25.206.130:8080	中国 广东 惠州 移动	HTTP代理	5.91	178天 12小时 36分钟 8秒	32362	2019年5月28日 00:54
12	高匿代理服务	181.113.225.114:8080	中国 江苏 无锡 电信/联通/移动	HTTP代理	5.17	103天 4小时 42分钟 43秒	12189	2019年5月28日 00:54
13	高匿代理服务	5.160.197.34:53281	中国 浙江 宁波 联通	HTTP代理	5.71	142天 10小时 19分钟 11秒	135	2019年5月28日 00:54
14	高匿代理服务	78.92.233.217:8080	中国 山东 淄博 联通	HTTP代理	2.79	4天 0小时 48分钟 2秒	53	2019年5月28日 00:54
15	高匿代理服务	117.70.39.30:9999	中国 安徽 池州 电信	HTTP代理	3.6	148天 12小时 17分钟 10秒	11	2019年5月28日 00:54
16	高匿代理服务	95.169.95.242:53803	中国 四川 内江 电信	HTTP代理	2.41	178天 12小时 41分钟 2秒	47052	2019年5月28日 00:54
17	高匿代理服务	103.198.172.4:50820	中国 北京 北京 康盛新创	HTTP代理	5.44	178天 12小时 40分钟 39秒	25319	2019年5月28日 00:54
18	高匿代理服务	134.209.97.106:8888	中国 四川 内江 移动	HTTP代理	6.88	1小时 36分钟 49秒	8	2019年5月28日 00:54
19	高匿代理服务	156.239.12.57:6604	中国 四川 广安 联通	HTTP代理	2.79	22小时 23分钟 1秒	329	2019年5月28日 00:54
20	高匿代理服务	111.177.190.24:9999	中国 湖北 随州 电信	HTTP代理	1.13	151天 17小时 51分钟 3秒	72	2019年5月28日 00:54
21	高匿代理服务	212.25.36.55:8085	中国 上海 上海 科技网	HTTP代理	3.44	200天 22小时 35分钟 47秒	103984	2019年5月28日 00:54
22	高匿代理服务	103.41.212.186:8080	中国 河北 邢台 电信	HTTP代理	4.18	54天 4小时 11分钟 24秒	11274	2019年5月28日 00:54
23	高匿代理服务	111.176.20.10:9999	中国 湖北 荆州 电信	HTTP代理	2.24	136天 19小时 49分钟 21秒	56	2019年5月28日 00:54
24	高匿代理服务	43.248.213.228:38299	中国 江苏 南京 移动	HTTP代理	3.92	31天 8小时 59分钟 19秒	6600	2019年5月28日 00:54
25	高匿代理服务	103.254.175.181:8080	中国 浙江 宁波 电信	HTTP代理	5.29	87天 7小时 44分钟 17秒	14292	2019年5月28日 00:54
26	高匿代理服务	86.57.159.118:61113	中国 山东 菏泽 移动	HTTP代理	2.34	133天 13小时 59分钟 2秒	47379	2019年5月28日 00:54
27	高匿代理服务	190.151.94.2:46615	中国 福建 莆田 联通	HTTP代理	3.95	178天 12小时 42分钟 1秒	35598	2019年5月28日 00:54
28	高匿代理服务	163.125.113.253:8088	中国 广东 深圳 联通	HTTP代理	4.11	153天 5小时 12分钟 17秒	114	2019年5月28日 00:54
