	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	183.148.130.194:9999	中国 浙江 台州 电信	HTTP代理	1.24	148天 12小时 3分钟 42秒	19	2019年5月28日 00:54
1	高匿代理服务	47.105.199.74:80	中国 山东 青岛 阿里云	HTTP代理	1.04	166天 12小时 11分钟 53秒	379	2019年5月28日 00:54
2	高匿代理服务	149.56.167.141:31313	中国 广东 广州 腾讯云/国际节点	HTTP代理	3.18	177天 21小时 2分钟 20秒	92	2019年5月28日 00:54
3	高匿代理服务	103.220.31.180:43227	中国 台湾 新北	HTTP代理	3.64	135天 1小时 57分钟 29秒	1086	2019年5月28日 00:54
4	高匿代理服务	200.93.91.148:8080	中国 海南 三亚 电信	HTTP代理	2.42	87天 15小时 50分钟 16秒	13	2019年5月28日 00:54
5	高匿代理服务	180.118.247.22:9000	中国 江苏 镇江 电信	HTTP代理	0.54	176天 8小时 5分钟 4秒	58	2019年5月28日 00:54
6	高匿代理服务	203.195.141.137:8888	中国 广东 广州 腾讯云	HTTP代理	2.17	28天 4小时 45分钟 34秒	354	2019年5月28日 00:54
7	高匿代理服务	113.128.11.22:9999	中国 山东 济南 电信	HTTP代理	4.73	143天 12小时 7分钟 43秒	15	2019年5月28日 00:54
8	高匿代理服务	115.210.31.121:9000	中国 浙江 金华 电信	HTTP代理	0.7	170天 12小时 25分钟 23秒	19	2019年5月28日 00:54
9	高匿代理服务	47.105.198.70:80	中国 山东 青岛 阿里云	HTTP代理	2.13	166天 14小时 5分钟 43秒	169	2019年5月28日 00:54
10	高匿代理服务	116.58.233.4:8080	中国 湖南 郴州 联通	HTTP代理	2.26	163天 12小时 27分钟 4秒	471	2019年5月28日 00:54
11	高匿代理服务	77.48.22.150:37795	中国 山东 东营 移动	HTTP代理	5.38	8天 23小时 42分钟 54秒	569	2019年5月28日 00:54
12	高匿代理服务	195.235.72.60:80	中国 陕西 汉中 联通	HTTP代理	1.24	178天 12小时 38分钟 14秒	727	2019年5月28日 00:54
13	高匿代理服务	136.243.81.120:8080	中国 辽宁 铁岭 电信	HTTP代理	1.43	3天 11小时 53分钟 57秒	1704	2019年5月28日 00:54
14	高匿代理服务	117.91.249.254:9999	中国 江苏 扬州 电信	HTTP代理	0.94	25天 21小时 28分钟 2秒	56	2019年5月28日 00:54
15	高匿代理服务	87.251.228.114:31793	中国 河南 濮阳 电信	HTTP代理	4.89	178天 12小时 38分钟 51秒	48782	2019年5月28日 00:54
16	高匿代理服务	195.234.87.211:53281	中国 台湾  學術網路	HTTP代理	6.32	178天 12小时 34分钟 53秒	39138	2019年5月28日 00:54
17	高匿代理服务	202.166.201.65:23500	中国 江苏 连云港 电信	HTTP代理	5.45	144天 4小时 33分钟 1秒	32018	2019年5月28日 00:54
18	高匿代理服务	183.89.211.26:8080	中国 山东 日照 移动	HTTP代理	3.36	32天 1小时 25分钟 51秒	996	2019年5月28日 00:54
19	高匿代理服务	117.90.252.127:9999	中国 江苏 镇江 电信	HTTP代理	1.56	99天 15小时 20分钟 57秒	19	2019年5月28日 00:54
20	高匿代理服务	189.90.244.46:8080	中国 湖南 岳阳 联通	HTTP代理	6.0	26天 15小时 57分钟 24秒	6004	2019年5月28日 00:54
21	高匿代理服务	36.68.39.21:8080	中国 山东 东营 移动	HTTP代理	6.88	4小时 47分钟 7秒	110	2019年5月28日 00:54
22	高匿代理服务	119.0.210.84:8118	中国 贵州 六盘水 电信	HTTP代理	2.25	144天 12小时 31分钟 44秒	517	2019年5月28日 00:54
23	高匿代理服务	115.218.213.195:9000	中国 浙江 温州 电信	HTTP代理	4.53	70天 17小时 13分钟 8秒	90	2019年5月28日 00:54
24	高匿代理服务	43.252.73.98:53557	中国 山东 淄博 联通	HTTP代理	5.01	23天 14小时 17分钟 52秒	3966	2019年5月28日 00:54
25	高匿代理服务	200.54.247.98:8080	中国 江西 抚州 电信	HTTP代理	5.29	91天 21小时 1分钟 17秒	8307	2019年5月28日 00:54
26	高匿代理服务	119.110.204.62:80	中国 四川 内江 电信	HTTP代理	5.76	92天 9小时 2分钟 53秒	17482	2019年5月28日 00:54
27	高匿代理服务	109.199.147.163:51506	中国 四川 绵阳 移动	HTTP代理	3.6	134天 16小时 30分钟 17秒	30328	2019年5月28日 00:54
28	高匿代理服务	45.70.60.78:38793	中国 吉林 辽源 联通	HTTP代理	5.89	4天 17小时 19分钟 16秒	283	2019年5月28日 00:54
29	高匿代理服务	104.221.135.103:3128	中国 河南 许昌 电信	HTTP代理	2.77	42天 13小时 29分钟 51秒	930	2019年5月28日 00:54
30	高匿代理服务	160.20.75.193:56125	中国 贵州 毕节 移动	HTTP代理	4.64	100天 17小时 13分钟 9秒	18410	2019年5月28日 00:54
31	高匿代理服务	188.126.35.112:53281	中国 湖北 潜江 电信	HTTP代理	5.68	32天 1小时 31分钟 31秒	7579	2019年5月28日 00:54
32	高匿代理服务	103.14.36.218:8080	中国 新疆 乌鲁木齐 铁通	HTTP代理	5.77	102天 20小时 58分钟 57秒	24833	2019年5月28日 00:54
33	高匿代理服务	175.42.128.244:9999	中国 福建 南平 联通	HTTP代理	1.26	12天 21小时 35分钟 5秒	57	2019年5月28日 00:54
34	高匿代理服务	36.83.156.179:8080	中国 安徽 宿州 电信	HTTP代理	6.72	26天 21小时 51分钟 45秒	356	2019年5月28日 00:54
35	高匿代理服务	1.10.189.20:43754	中国 江苏 南京 教育网	HTTP代理	4.43	79天 8小时 34分钟 33秒	17444	2019年5月28日 00:54
36	高匿代理服务	83.167.73.151:35445	中国 云南 保山 电信	HTTP代理	5.13	25天 7小时 51分钟 2秒	7173	2019年5月28日 00:54
37	高匿代理服务	182.53.206.198:8080	中国 安徽 芜湖 电信	HTTP代理	5.74	53天 9小时 48分钟 5秒	6466	2019年5月28日 00:54
38	高匿代理服务	1.20.103.208:43099	中国 广东 汕尾 电信	HTTP代理	1.85	154天 14小时 29分钟 30秒	455	2019年5月28日 00:54
39	高匿代理服务	223.207.25.141:8080	中国 安徽 合肥 电信	HTTP代理	1.61	124天 1小时 3分钟 12秒	76	2019年5月28日 00:54
