	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	46.209.134.89:8080	中国 江苏 宿迁 联通	HTTP代理	5.12	81天 12小时 15分钟 4秒	195	2019年5月28日 00:51
1	高匿代理服务	115.239.24.161:9999	中国 浙江 嘉兴 电信	HTTP代理	6.82	133天 4小时 42分钟 21秒	100	2019年5月28日 00:51
2	高匿代理服务	112.85.169.178:9999	中国 江苏 南通 联通	HTTP代理	1.19	9天 11小时 8分钟 37秒	58	2019年5月28日 00:51
3	高匿代理服务	134.35.53.97:8080	中国 台湾 台北	HTTP代理	2.69	143天 16小时 27分钟 22秒	95	2019年5月28日 00:51
4	高匿代理服务	163.125.222.225:8118	中国 广东 深圳 联通	HTTP代理	6.14	84天 18小时 33分钟 56秒	248	2019年5月28日 00:51
5	高匿代理服务	190.207.89.161:8080	中国 四川 南充 移动	HTTP代理	1.37	71天 19小时 57分钟 28秒	14	2019年5月28日 00:51
6	高匿代理服务	176.101.223.20:8080	中国 福建 龙岩 电信	HTTP代理	6.41	13天 23小时 38分钟 45秒	2887	2019年5月28日 00:51
7	高匿代理服务	200.84.97.131:8080	中国 江西 赣州 电信	HTTP代理	4.6	90天 19小时 55分钟 16秒	150	2019年5月28日 00:51
8	高匿代理服务	111.181.36.3:9999	中国 湖北 鄂州 电信	HTTP代理	2.06	115天 12小时 17分钟 11秒	11	2019年5月28日 00:51
9	高匿代理服务	110.83.40.174:9999	中国 福建 福州 电信	HTTP代理	1.37	128天 17小时 14分钟 22秒	96	2019年5月28日 00:51
10	高匿代理服务	119.255.248.54:808	中国 北京 北京 华瑞信通	HTTP代理	1.29	6天 1小时 42分钟 20秒	128	2019年5月28日 00:51
11	高匿代理服务	165.255.156.24:8888	中国 北京 北京 青云QingCloud/BGP多线	HTTP代理	4.87	5天 18小时 27分钟 18秒	13	2019年5月28日 00:51
12	高匿代理服务	120.76.191.177:8118	中国 广东 深圳 阿里云	HTTP代理	5.31	134天 2小时 33分钟 53秒	2949	2019年5月28日 00:51
13	高匿代理服务	115.218.215.211:9000	中国 浙江 温州 电信	HTTP代理	0.61	88天 21小时 44分钟 41秒	95	2019年5月28日 00:51
14	高匿代理服务	201.208.215.65:8080	中国 江西 宜春 铁通	HTTP代理	5.09	90天 14小时 56分钟 2秒	11	2019年5月28日 00:51
15	高匿代理服务	45.71.149.101:8080	中国 香港  安畅	HTTP代理	3.84	71天 19小时 54分钟 18秒	15	2019年5月28日 00:51
16	高匿代理服务	41.60.235.160:8080	中国 北京 北京 云方舟	HTTP代理	3.7	67天 3小时 4分钟 0秒	249	2019年5月28日 00:51
17	高匿代理服务	125.105.107.55:3128	中国 浙江 衢州 电信	HTTP代理	1.18	153天 0小时 5分钟 1秒	198	2019年5月28日 00:51
18	高匿代理服务	125.25.33.65:8080	中国 辽宁 锦州 联通	HTTP代理	1.78	163天 16小时 32分钟 59秒	612	2019年5月28日 00:51
19	高匿代理服务	61.7.183.243:8080	中国 福建 南平 电信	HTTP代理	2.37	102天 17小时 44分钟 4秒	482	2019年5月28日 00:51
20	高匿代理服务	122.4.46.124:9999	中国 山东 济南 电信	HTTP代理	4.83	148天 14小时 3分钟 35秒	34	2019年5月28日 00:51
21	高匿代理服务	1.198.72.231:9999	中国 河南 济源 电信	HTTP代理	1.15	131天 4小时 20分钟 29秒	65	2019年5月28日 00:51
22	高匿代理服务	59.62.166.121:9999	中国 江西 宜春 电信	HTTP代理	1.35	113天 3小时 16分钟 4秒	38	2019年5月28日 00:51
23	高匿代理服务	111.177.174.66:9999	中国 湖北 随州 电信	HTTP代理	1.08	151天 17小时 9分钟 37秒	86	2019年5月28日 00:51
24	高匿代理服务	125.162.71.128:8080	中国 台湾 新竹 中華電信	HTTP代理	5.21	93天 16小时 55分钟 13秒	64	2019年5月28日 00:51
25	高匿代理服务	183.33.128.208:808	中国 广东 珠海 电信	HTTP代理	2.86	79天 5小时 26分钟 17秒	164	2019年5月28日 00:51
