	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	201.210.154.229:8080	中国 青海 海南 电信	HTTP代理	6.89	69天 2小时 2分钟 28秒	21	2019年5月28日 00:59
1	高匿代理服务	217.12.212.150:626	中国 海南 海口 教育网	HTTP代理	6.01	177天 20小时 18分钟 45秒	689	2019年5月28日 00:59
2	高匿代理服务	81.177.141.120:3128	中国 新疆 乌鲁木齐 移动	HTTP代理	2.08	138天 21小时 33分钟 26秒	6703	2019年5月28日 00:59
3	高匿代理服务	182.53.197.87:46524	中国 四川 乐山 电信	HTTP代理	2.6	99天 11小时 37分钟 5秒	8742	2019年5月28日 00:59
4	高匿代理服务	178.57.89.142:50458	中国 四川 成都 广电网	HTTP代理	4.08	11天 10小时 27分钟 14秒	3575	2019年5月28日 00:59
5	高匿代理服务	95.158.141.129:39895	中国 四川 成都 移动	HTTP代理	6.62	25天 4小时 23分钟 12秒	5245	2019年5月28日 00:59
6	高匿代理服务	177.85.112.164:40067	中国 吉林 延边 电信	HTTP代理	1.35	19天 8小时 58分钟 11秒	1487	2019年5月28日 00:59
7	高匿代理服务	3.19.122.134:8080	中国 河北 邯郸 电信	HTTP代理	5.4	1天 16小时 44分钟 48秒	663	2019年5月28日 00:59
8	高匿代理服务	62.148.148.63:31790	中国 台湾  中嘉和網	HTTP代理	1.84	65天 13小时 17分钟 40秒	6512	2019年5月28日 00:59
9	高匿代理服务	185.75.67.26:8080	中国 黑龙江 哈尔滨 电信	HTTP代理	2.0	115天 12小时 8分钟 27秒	37	2019年5月28日 00:59
10	高匿代理服务	78.92.233.163:8080	中国 四川 内江 联通	HTTP代理	1.98	97天 17小时 6分钟 50秒	536	2019年5月28日 00:59
11	高匿代理服务	81.213.77.57:58282	中国 台湾 台东 中華電信	HTTP代理	4.41	15天 20小时 4分钟 24秒	770	2019年5月28日 00:59
12	高匿代理服务	157.100.52.20:9991	中国 安徽 六安 移动	HTTP代理	4.79	67天 3小时 0分钟 33秒	2525	2019年5月28日 00:59
13	高匿代理服务	121.232.148.154:9000	中国 江苏 镇江 电信	HTTP代理	0.53	144天 7小时 38分钟 8秒	173	2019年5月28日 00:59
14	高匿代理服务	58.55.134.52:9999	中国 湖北 鄂州 电信	HTTP代理	1.43	143天 12小时 10分钟 22秒	19	2019年5月28日 00:59
15	高匿代理服务	14.102.35.201:31444	中国 内蒙古 呼和浩特 电信	HTTP代理	6.34	139天 13小时 48分钟 46秒	154	2019年5月28日 00:59
16	高匿代理服务	74.123.167.129:8080	中国 辽宁 铁岭 电信	HTTP代理	4.23	93天 13小时 4分钟 8秒	1852	2019年5月28日 00:59
17	高匿代理服务	110.78.180.214:8080	中国 新疆 塔城 电信	HTTP代理	2.8	72天 18小时 40分钟 58秒	372	2019年5月28日 00:59
18	高匿代理服务	117.70.38.156:9999	中国 安徽 池州 电信	HTTP代理	1.25	150天 2小时 27分钟 49秒	19	2019年5月28日 00:59
19	高匿代理服务	114.239.147.171:9999	中国 江苏 宿迁 电信	HTTP代理	1.02	121天 9小时 1分钟 56秒	19	2019年5月28日 00:59
20	高匿代理服务	60.10.2.77:3128	中国 河北 廊坊 联通	HTTP代理	1.97	89天 20小时 58分钟 32秒	21050	2019年5月28日 00:59
21	高匿代理服务	185.132.251.4:8080	中国 福建 泉州 移动	HTTP代理	1.94	132天 21小时 1分钟 2秒	18	2019年5月28日 00:59
22	高匿代理服务	103.29.222.214:55098	中国 四川 自贡 电信	HTTP代理	2.91	21天 17小时 48分钟 2秒	24	2019年5月28日 00:59
23	高匿代理服务	121.61.2.233:9999	中国 湖北 咸宁 电信	HTTP代理	1.51	136天 21小时 45分钟 58秒	182	2019年5月28日 00:59
24	高匿代理服务	119.178.221.232:9000	中国 山东 菏泽 联通	HTTP代理	0.91	84天 8小时 48分钟 2秒	14	2019年5月28日 00:59
25	高匿代理服务	119.39.238.219:9999	中国 湖南 岳阳 联通	HTTP代理	4.19	147天 19小时 27分钟 1秒	229	2019年5月28日 00:59
26	高匿代理服务	125.99.247.113:44478	中国 澳门 氹仔岛 澳門電訊	HTTP代理	5.0	16天 4小时 59分钟 46秒	636	2019年5月28日 00:59
27	高匿代理服务	103.87.48.45:51123	中国 湖南 永州 联通	HTTP代理	1.54	14天 8小时 25分钟 42秒	274	2019年5月28日 00:59
28	高匿代理服务	202.166.216.213:23500	中国 河北 保定 联通	HTTP代理	6.2	178天 12小时 44分钟 50秒	44010	2019年5月28日 00:59
29	高匿代理服务	41.170.48.74:57797	中国 甘肃 白银 电信	HTTP代理	6.82	117天 10小时 52分钟 40秒	27245	2019年5月28日 00:59
30	高匿代理服务	49.70.94.120:9999	中国 江苏 宿迁 电信	HTTP代理	1.45	113天 2小时 4分钟 34秒	19	2019年5月28日 00:59
31	高匿代理服务	186.92.23.194:8080	中国 安徽 合肥 教育网	HTTP代理	3.76	152天 23小时 19分钟 44秒	97	2019年5月28日 00:59
32	高匿代理服务	115.196.53.229:9000	中国 浙江 杭州 电信	HTTP代理	0.66	93天 20小时 14分钟 0秒	39	2019年5月28日 00:59
33	高匿代理服务	90.150.130.126:39526	中国 广东 广州 广电网	HTTP代理	4.75	17天 12小时 16分钟 29秒	3787	2019年5月28日 00:59
34	高匿代理服务	1.20.101.234:38984	中国 浙江 温州 电信	HTTP代理	5.48	80天 9小时 49分钟 58秒	14296	2019年5月28日 00:59
35	高匿代理服务	01.179.198.37:8080	中国 山东 济南 电信	HTTP代理	5.53	96天 12小时 33分钟 12秒	15464	2019年5月28日 00:59
36	高匿代理服务	103.112.169.61:8080	中国 陕西 商洛 联通	HTTP代理	4.81	6天 0小时 29分钟 51秒	743	2019年5月28日 00:59
37	高匿代理服务	115.196.51.49:9000	中国 浙江 杭州 电信	HTTP代理	0.62	90天 16小时 18分钟 20秒	58	2019年5月28日 00:59
38	高匿代理服务	45.113.155.9:34512	中国 安徽 宣城 电信	HTTP代理	2.99	130天 3小时 54分钟 9秒	1105	2019年5月28日 00:59
39	高匿代理服务	186.68.85.26:53281	中国 河南 开封 联通	HTTP代理	5.83	178天 12小时 46分钟 16秒	39387	2019年5月28日 00:59
40	高匿代理服务	91.224.216.27:49363	中国 河南 南阳 电信	HTTP代理	6.26	16天 5小时 49分钟 1秒	3763	2019年5月28日 00:59
41	高匿代理服务	103.106.76.30:8080	中国 福建 厦门 移动	HTTP代理	5.47	12天 7小时 19分钟 51秒	3113	2019年5月28日 00:59
42	高匿代理服务	111.118.128.140:34070	中国 江西 新余 电信	HTTP代理	6.1	153天 9小时 57分钟 1秒	1660	2019年5月28日 00:59
43	高匿代理服务	105.27.116.46:40707	中国 广东 广州 腾讯云	HTTP代理	5.6	10天 12小时 55分钟 29秒	1590	2019年5月28日 00:59
44	高匿代理服务	93.183.151.226:53281	中国 江苏  电信/基站WiFi	HTTP代理	1.95	108天 19小时 52分钟 38秒	3286	2019年5月28日 00:59
45	高匿代理服务	115.42.35.205:8080	中国 四川 泸州 电信	HTTP代理	6.35	178天 6小时 6分钟 28秒	297	2019年5月28日 00:59
46	高匿代理服务	210.5.106.202:61972	中国 广西 玉林 电信	HTTP代理	4.65	9天 11小时 35分钟 42秒	1819	2019年5月28日 00:58
47	高匿代理服务	45.230.215.42:8080	中国 广东 惠州 铁通	HTTP代理	6.47	12天 1小时 50分钟 45秒	3624	2019年5月28日 00:58
48	高匿代理服务	103.82.43.235:52059	中国 四川 眉山 联通	HTTP代理	2.08	78天 1小时 18分钟 41秒	8809	2019年5月28日 00:58
49	高匿代理服务	185.73.206.205:40662	中国 陕西 西安 电信	HTTP代理	5.87	64天 2小时 19分钟 17秒	8311	2019年5月28日 00:58
