	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	202.21.116.194:8080	中国 北京 北京 青云QingCloud/BGP多线	HTTP代理	6.2	99天 3小时 3分钟 19秒	14735	2019年5月28日 00:58
1	高匿代理服务	202.162.222.154:49659	中国 黑龙江 齐齐哈尔 电信	HTTP代理	3.22	25天 23小时 38分钟 36秒	4638	2019年5月28日 00:58
2	高匿代理服务	49.156.34.103:51394	中国 北京 北京 Amazon/电信/联通/铁通	HTTP代理	2.87	44天 22小时 8分钟 5秒	1724	2019年5月28日 00:58
3	高匿代理服务	1.10.136.210:8080	中国 湖北 武汉 移动/基站WiFi	HTTP代理	5.67	102天 13小时 5分钟 20秒	319	2019年5月28日 00:58
4	高匿代理服务	5.160.182.30:8080	中国 江西 抚州 电信	HTTP代理	5.33	8天 1小时 53分钟 42秒	253	2019年5月28日 00:58
5	高匿代理服务	45.4.237.72:33847	中国 北京 北京 Microsoft	HTTP代理	5.93	66天 4小时 30分钟 10秒	13233	2019年5月28日 00:58
6	高匿代理服务	54.39.24.33:3128	中国 辽宁 大连 联通	HTTP代理	2.24	29天 23小时 7分钟 23秒	7182	2019年5月28日 00:58
7	高匿代理服务	117.4.247.218:3128	中国 黑龙江 牡丹江 联通	HTTP代理	5.81	178天 12小时 47分钟 13秒	54105	2019年5月28日 00:58
8	高匿代理服务	185.136.151.112:60547	中国 河北 衡水 电信	HTTP代理	0.96	138天 20小时 49分钟 24秒	2284	2019年5月28日 00:58
9	高匿代理服务	180.180.170.67:8080	中国 江西 吉安 电信	HTTP代理	5.28	178天 12小时 44分钟 31秒	50505	2019年5月28日 00:58
10	高匿代理服务	91.207.27.142:4550	中国 吉林 四平 联通	HTTP代理	5.86	178天 12小时 45分钟 20秒	52880	2019年5月28日 00:58
11	高匿代理服务	190.90.1.180:49656	中国 广东 深圳 铁通	HTTP代理	6.29	14天 13小时 21分钟 49秒	1867	2019年5月28日 00:58
12	高匿代理服务	115.196.48.160:9000	中国 浙江 杭州 电信	HTTP代理	2.0	84天 9小时 12分钟 47秒	18	2019年5月28日 00:58
