	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	103.221.254.44:56471	中国 北京 北京 鹏博士/联通	HTTP代理	6.43	178天 12小时 42分钟 22秒	31320	2019年5月28日 00:57
1	高匿代理服务	35.242.186.134:3128	中国 安徽 安庆 电信	HTTP代理	5.98	1天 14小时 21分钟 57秒	752	2019年5月28日 00:57
2	高匿代理服务	109.174.19.134:8197	中国 黑龙江 齐齐哈尔 联通	HTTP代理	1.08	33天 4小时 34分钟 1秒	4454	2019年5月28日 00:57
3	高匿代理服务	58.96.153.149:8080	中国 北京 北京 网宽天地	HTTP代理	6.28	60天 9小时 26分钟 12秒	6468	2019年5月28日 00:57
4	高匿代理服务	46.216.62.229:53281	中国 北京 北京 联通/电信	HTTP代理	2.96	21小时 25分钟 36秒	509	2019年5月28日 00:57
5	高匿代理服务	119.82.252.71:55412	中国 四川 自贡 联通	HTTP代理	6.15	11天 10小时 21分钟 2秒	3377	2019年5月28日 00:57
6	高匿代理服务	36.67.154.175:54839	中国 辽宁  电信	HTTP代理	1.99	12天 21小时 34分钟 56秒	3026	2019年5月28日 00:57
7	高匿代理服务	156.239.12.49:6604	中国 江苏 连云港 教育网	HTTP代理	5.63	1天 12小时 20分钟 13秒	542	2019年5月28日 00:57
8	高匿代理服务	64.17.30.238:63141	中国 浙江 杭州 铁通	HTTP代理	5.4	67天 18小时 20分钟 56秒	11454	2019年5月28日 00:57
9	高匿代理服务	80.78.74.133:53281	中国 四川 自贡 联通	HTTP代理	3.3	2天 3小时 11分钟 59秒	933	2019年5月28日 00:57
10	高匿代理服务	103.89.253.249:3128	中国 河南 濮阳 电信	HTTP代理	3.67	178天 12小时 45分钟 18秒	75471	2019年5月28日 00:57
11	高匿代理服务	91.195.156.241:3128	中国 北京 北京 首都在线科技	HTTP代理	4.62	178天 6小时 16分钟 12秒	4136	2019年5月28日 00:57
12	高匿代理服务	103.89.253.246:3128	中国 江苏 扬州 移动	HTTP代理	4.6	178天 12小时 45分钟 15秒	75379	2019年5月28日 00:57
13	高匿代理服务	198.177.126.218:8118	中国 山东 德州 移动	HTTP代理	0.51	178天 12小时 36分钟 57秒	17715	2019年5月28日 00:57
14	高匿代理服务	181.44.133.155:8080	中国 北京 北京 网宿科技/BGP多线	HTTP代理	3.63	30天 7小时 48分钟 49秒	6410	2019年5月28日 00:57
15	高匿代理服务	177.46.141.143:47434	中国 台湾 高雄 中華電信	HTTP代理	3.81	64天 14小时 20分钟 29秒	11258	2019年5月28日 00:57
16	高匿代理服务	115.42.35.72:8118	中国 台湾 彰化 谷歌	HTTP代理	5.85	76天 7小时 5分钟 55秒	98	2019年5月28日 00:57
17	高匿代理服务	103.194.234.206:9000	中国 江西 新余 联通	HTTP代理	5.47	76天 20小时 5分钟 12秒	275	2019年5月28日 00:57
18	高匿代理服务	88.247.192.105:45908	中国 浙江 舟山 电信	HTTP代理	1.17	20天 11小时 49分钟 42秒	120	2019年5月28日 00:57
19	高匿代理服务	36.89.129.241:8080	中国 台湾 台南 中華電信	HTTP代理	3.3	178天 12小时 43分钟 3秒	37664	2019年5月28日 00:57
20	高匿代理服务	115.42.34.19:9999	中国 安徽 宣城 电信	HTTP代理	5.69	177天 13小时 54分钟 48秒	360	2019年5月28日 00:57
21	高匿代理服务	118.173.233.37:45592	中国 江苏 淮安 电信	HTTP代理	5.16	80天 17小时 37分钟 5秒	13953	2019年5月28日 00:57
22	高匿代理服务	103.194.233.175:8118	中国 吉林 长春 移动	HTTP代理	6.63	166天 13小时 24分钟 4秒	333	2019年5月28日 00:57
23	高匿代理服务	202.56.186.146:80	中国 上海 上海 阿里巴巴	HTTP代理	6.36	26天 12小时 9分钟 28秒	2761	2019年5月28日 00:57
