	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	103.194.232.168:8118	中国 四川 自贡 移动	HTTP代理	6.25	65天 4小时 34分钟 28秒	143	2019年5月28日 01:00
1	高匿代理服务	103.194.233.159:8118	中国 北京 北京 鹏博士/联通	HTTP代理	4.62	76天 5小时 48分钟 30秒	212	2019年5月28日 01:00
2	高匿代理服务	115.42.34.144:8080	中国 湖南 湘潭 电信	HTTP代理	4.96	178天 12小时 29分钟 19秒	427	2019年5月28日 01:00
3	高匿代理服务	159.192.98.20:8080	中国 江苏 常州 联通	HTTP代理	5.55	178天 12小时 45分钟 53秒	20285	2019年5月28日 01:00
4	高匿代理服务	216.218.15.48:35355	中国 海南 五指山 电信	HTTP代理	4.97	138天 12小时 3分钟 27秒	1412	2019年5月28日 01:00
5	高匿代理服务	103.224.186.20:56977	中国 吉林 吉林 联通	HTTP代理	6.1	80天 6小时 53分钟 52秒	2440	2019年5月28日 01:00
6	高匿代理服务	182.52.51.15:33680	中国 山东 菏泽 联通	HTTP代理	6.08	122天 11小时 50分钟 0秒	39368	2019年5月28日 01:00
7	高匿代理服务	186.94.44.41:8080	中国 江西 鹰潭 联通	HTTP代理	3.7	90天 14小时 29分钟 32秒	20	2019年5月28日 01:00
8	高匿代理服务	194.186.123.186:60630	中国 广东 湛江 移动	HTTP代理	2.36	158天 19小时 23分钟 52秒	514	2019年5月28日 01:00
9	高匿代理服务	111.179.20.243:9999	中国 湖北 咸宁 电信	HTTP代理	1.23	139天 8小时 55分钟 53秒	19	2019年5月28日 01:00
10	高匿代理服务	183.88.63.103:8080	中国 上海 上海 阿里巴巴	HTTP代理	2.72	82天 22小时 51分钟 15秒	2557	2019年5月28日 01:00
11	高匿代理服务	190.79.115.169:8080	中国 江苏 盐城 电信	HTTP代理	3.17	169天 0小时 24分钟 50秒	93	2019年5月28日 01:00
12	高匿代理服务	121.228.55.139:3128	中国 江苏 苏州 电信	HTTP代理	1.39	139天 10小时 50分钟 30秒	14	2019年5月28日 01:00
