	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	103.216.147.45:8080	中国 内蒙古 呼伦贝尔 联通	HTTP代理	6.43	178天 12小时 43分钟 43秒	3760	2019年5月28日 00:59
1	高匿代理服务	103.194.232.134:8888	中国 山东 威海 联通	HTTP代理	6.72	165天 17小时 19分钟 48秒	263	2019年5月28日 00:59
2	高匿代理服务	116.209.53.212:9999	中国 湖北 仙桃 电信	HTTP代理	1.42	103天 15小时 10分钟 47秒	166	2019年5月28日 00:59
3	高匿代理服务	46.201.243.145:55110	中国 湖南 湘潭 移动	HTTP代理	3.62	7天 17小时 50分钟 4秒	61	2019年5月28日 00:59
4	高匿代理服务	1.192.241.169:9999	中国 河南 郑州 电信	HTTP代理	1.27	124天 0小时 9分钟 40秒	19	2019年5月28日 00:59
5	高匿代理服务	189.70.151.185:8080	中国 山东 枣庄 电信	HTTP代理	3.08	136天 19小时 49分钟 57秒	55	2019年5月28日 00:59
6	高匿代理服务	111.242.177.117:80	中国 台湾 台东 中華電信	HTTP代理	1.36	80天 21小时 8分钟 7秒	56	2019年5月28日 00:59
7	高匿代理服务	36.91.154.66:8080	中国 天津 天津 电信	HTTP代理	3.81	103天 5小时 20分钟 47秒	15184	2019年5月28日 00:59
8	高匿代理服务	163.125.233.80:8088	中国 广东 深圳 联通	HTTP代理	6.02	122天 4小时 56分钟 19秒	229	2019年5月28日 00:59
9	高匿代理服务	111.181.57.194:9999	中国 湖北 鄂州 电信	HTTP代理	6.65	143天 14小时 8分钟 34秒	29	2019年5月28日 00:59
10	高匿代理服务	187.189.120.59:43948	中国 浙江 衢州 电信	HTTP代理	1.63	93天 2小时 20分钟 12秒	4171	2019年5月28日 00:59
11	高匿代理服务	58.55.131.21:9999	中国 湖北 鄂州 电信	HTTP代理	1.14	136天 20小时 19分钟 51秒	77	2019年5月28日 00:59
12	高匿代理服务	159.224.44.19:30038	中国 山东 滨州 联通	HTTP代理	4.82	14天 9小时 7分钟 44秒	988	2019年5月28日 00:59
13	高匿代理服务	171.80.136.119:9999	中国 湖北 荆州 电信	HTTP代理	1.22	143天 11小时 51分钟 27秒	19	2019年5月28日 00:59
14	高匿代理服务	212.49.84.71:55073	中国 江苏 扬州 联通	HTTP代理	3.77	83天 11小时 7分钟 15秒	3040	2019年5月28日 00:59
15	高匿代理服务	118.96.186.214:8080	中国 广东 广州 教育网	HTTP代理	5.51	166天 10小时 51分钟 3秒	494	2019年5月28日 00:59
16	高匿代理服务	103.78.72.250:45528	中国 台湾  谷歌	HTTP代理	1.38	137天 10小时 35分钟 44秒	456	2019年5月28日 00:59
17	高匿代理服务	202.61.120.61:33357	中国 香港	HTTP代理	5.66	43天 7小时 3分钟 51秒	330	2019年5月28日 00:59
18	高匿代理服务	46.238.248.116:43006	中国 山西 运城 联通	HTTP代理	2.82	79天 15小时 33分钟 57秒	2632	2019年5月28日 00:59
19	高匿代理服务	125.123.138.232:9999	中国 浙江 嘉兴 电信	HTTP代理	1.23	148天 15小时 47分钟 53秒	19	2019年5月28日 00:59
20	高匿代理服务	200.69.85.186:9991	中国 新疆 克孜勒苏 电信	HTTP代理	2.31	67天 16小时 44分钟 2秒	18	2019年5月28日 00:59
21	高匿代理服务	153.3.174.79:8118	中国 江苏 南京 联通	HTTP代理	1.18	50天 0小时 19分钟 12秒	58	2019年5月28日 00:59
22	高匿代理服务	58.50.1.97:9999	中国 湖北 荆州 电信	HTTP代理	1.33	136天 17小时 52分钟 4秒	19	2019年5月28日 00:59
23	高匿代理服务	171.12.115.55:9999	中国 河南 鹤壁 电信	HTTP代理	1.2	102天 5小时 55分钟 38秒	19	2019年5月28日 00:59
24	高匿代理服务	202.84.79.11:36804	中国 福建 福州 联通	HTTP代理	2.11	93天 21小时 57分钟 39秒	4857	2019年5月28日 00:59
25	高匿代理服务	216.183.222.215:3128	中国 重庆 重庆 腾讯云	HTTP代理	2.87	99天 19小时 34分钟 34秒	11224	2019年5月28日 00:59
26	高匿代理服务	175.42.68.35:9999	中国 福建 宁德 联通	HTTP代理	1.49	130天 17小时 22分钟 19秒	19	2019年5月28日 00:59
27	高匿代理服务	118.174.232.4:38869	中国 山西 大同 电信	HTTP代理	2.51	82天 16小时 7分钟 56秒	2417	2019年5月28日 00:59
28	高匿代理服务	195.32.14.4:61441	中国 山西 太原 联通	HTTP代理	2.05	81天 10小时 4分钟 24秒	389	2019年5月28日 00:59
29	高匿代理服务	119.153.146.73:3128	中国 安徽 池州 联通	HTTP代理	6.33	135天 3小时 36分钟 1秒	104	2019年5月28日 00:59
30	高匿代理服务	59.62.166.55:9999	中国 江西 宜春 电信	HTTP代理	1.36	124天 1小时 13分钟 9秒	57	2019年5月28日 00:59
31	高匿代理服务	183.148.137.107:9999	中国 浙江 台州 电信	HTTP代理	1.24	142天 5小时 55分钟 11秒	56	2019年5月28日 00:59
32	高匿代理服务	213.58.201.190:40227	中国 山西 晋城 联通	HTTP代理	1.81	126天 11小时 38分钟 9秒	3099	2019年5月28日 00:59
33	高匿代理服务	190.142.58.218:8080	中国 湖北 襄阳 移动/基站WiFi	HTTP代理	6.02	135天 0小时 47分钟 38秒	22	2019年5月28日 00:59
34	高匿代理服务	186.95.236.168:8080	中国 湖北 宜昌 电信	HTTP代理	6.82	80天 21小时 20分钟 0秒	34	2019年5月28日 00:59
35	高匿代理服务	111.181.61.117:9999	中国 湖北 鄂州 电信	HTTP代理	2.29	139天 9小时 17分钟 54秒	18	2019年5月28日 00:59
36	高匿代理服务	78.36.194.146:44559	中国 北京 北京 科技网	HTTP代理	1.8	154天 11小时 29分钟 1秒	421	2019年5月28日 00:59
