	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	117.255.223.28:8080	中国 湖北 潜江 电信	HTTP代理	5.79	78天 7小时 6分钟 50秒	2679	2019年5月28日 01:01
1	高匿代理服务	111.176.31.216:9999	中国 湖北 荆州 电信	HTTP代理	6.94	136天 20小时 25分钟 2秒	86	2019年5月28日 01:01
2	高匿代理服务	1.192.244.168:9999	中国 河南 郑州 电信	HTTP代理	1.39	105天 2小时 39分钟 30秒	19	2019年5月28日 01:01
3	高匿代理服务	189.126.76.239:8080	中国 山西 忻州 铁通	HTTP代理	4.79	76天 20小时 35分钟 0秒	869	2019年5月28日 01:01
4	高匿代理服务	82.212.17.48:8080	中国 辽宁 盘锦 电信	HTTP代理	0.65	99天 16小时 37分钟 17秒	192	2019年5月28日 01:01
5	高匿代理服务	111.255.167.205:80	中国 台湾 台南 中華電信	HTTP代理	1.31	124天 0小时 51分钟 54秒	38	2019年5月28日 01:01
6	高匿代理服务	201.242.136.207:8080	中国 江苏 连云港 电信	HTTP代理	3.37	99天 12小时 7分钟 48秒	12	2019年5月28日 01:01
7	高匿代理服务	103.80.38.151:59166	中国 江西 南昌 移动	HTTP代理	2.42	154天 4小时 23分钟 15秒	252	2019年5月28日 01:01
8	高匿代理服务	52.86.119.10:80	中国 上海 上海 阿里巴巴	HTTP代理	4.67	108天 19小时 38分钟 10秒	1453	2019年5月28日 01:01
9	高匿代理服务	49.49.66.107:8080	中国 香港  電訊盈科	HTTP代理	1.58	99天 20小时 40分钟 18秒	321	2019年5月28日 01:01
10	高匿代理服务	111.177.170.138:9999	中国 湖北 随州 电信	HTTP代理	1.12	140天 9小时 31分钟 27秒	335	2019年5月28日 01:01
11	高匿代理服务	183.148.134.118:9999	中国 浙江 台州 电信	HTTP代理	1.44	148天 23小时 6分钟 42秒	19	2019年5月28日 01:01
12	高匿代理服务	119.42.76.134:8080	中国 江西 新余 移动	HTTP代理	3.84	99天 17小时 19分钟 20秒	251	2019年5月28日 01:01
13	高匿代理服务	113.121.147.203:9999	中国 山东 泰安 电信	HTTP代理	1.11	96天 16小时 4分钟 43秒	19	2019年5月28日 01:01
14	高匿代理服务	191.252.201.96:80	中国 北京 北京 青云QingCloud/BGP多线	HTTP代理	4.35	92天 12小时 6分钟 21秒	14948	2019年5月28日 01:01
