	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	125.26.7.116:57059	中国 吉林 白山 电信	HTTP,HTTPS代理	3.03	80天 5小时 13分钟 59秒	15118	2019年5月28日 01:07
1	高匿代理服务	1.20.101.149:44778	中国 辽宁 大连 教育网	HTTP代理	4.24	81天 16小时 0分钟 27秒	12972	2019年5月28日 01:07
2	高匿代理服务	37.187.149.129:1080	中国 山东 青岛 鹏博士	HTTP,HTTPS代理	4.09	272天 5小时 17分钟 57秒	403322	2019年5月28日 01:07
3	高匿代理服务	185.132.133.173:1080	中国 台湾 云林	HTTP代理	3.56	43天 1小时 14分钟 39秒	8511	2019年5月28日 01:07
4	高匿代理服务	191.242.195.112:8080	中国 北京 北京 首都在线/电信	HTTP,HTTPS代理	3.38	93天 17小时 13分钟 51秒	9336	2019年5月28日 01:07
5	高匿代理服务	58.9.182.21:8080	中国 河北 邢台 移动	HTTP,HTTPS代理	6.14	1天 2小时 47分钟 39秒	648	2019年5月28日 01:07
6	高匿代理服务	201.76.117.1:20183	中国 陕西 渭南 电信	HTTP,HTTPS代理	3.84	3天 9小时 32分钟 26秒	1550	2019年5月28日 01:07
7	高匿代理服务	109.72.227.56:53281	中国 上海 上海 教育网	HTTP代理	6.01	41天 6小时 40分钟 35秒	7154	2019年5月28日 01:07
8	高匿代理服务	202.43.167.130:8080	中国 山东 泰安 电信	HTTP,HTTPS代理	6.09	178天 12小时 53分钟 45秒	59254	2019年5月28日 01:07
9	高匿代理服务	156.239.12.12:6604	中国 贵州 黔南 移动	HTTP,HTTPS代理	6.74	1天 14小时 59分钟 59秒	658	2019年5月28日 01:07
10	高匿代理服务	5.196.255.171:3128	中国 北京 北京	HTTP,HTTPS代理	2.53	98天 18小时 15分钟 7秒	7820	2019年5月28日 01:07
11	高匿代理服务	60.190.250.120:8080	中国 浙江 杭州 电信	HTTPS代理	5.53	125天 23小时 21分钟 56秒	17490	2019年5月28日 01:07
12	高匿代理服务	81.198.119.241:59096	中国 北京 北京 凤凰新媒体	HTTP,HTTPS代理	4.51	16天 6小时 7分钟 50秒	4166	2019年5月28日 01:07
