	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	178.150.97.102:41725	中国 陕西 榆林 移动	HTTP代理	3.37	118天 20小时 8分钟 6秒	2008	2019年5月28日 01:00
1	高匿代理服务	180.183.50.86:8080	中国 浙江 绍兴 电信	HTTP代理	6.58	99天 12小时 44分钟 59秒	50	2019年5月28日 01:00
2	高匿代理服务	186.92.106.153:8080	中国 陕西 宝鸡 电信	HTTP代理	6.46	80天 20小时 40分钟 45秒	7	2019年5月28日 01:00
3	高匿代理服务	198.58.9.171:53345	中国 江西 新余 电信	HTTP代理	1.83	137天 20小时 36分钟 31秒	567	2019年5月28日 01:00
4	高匿代理服务	115.42.35.193:9999	中国 江苏 南通 联通	HTTP代理	4.81	163天 20小时 40分钟 27秒	277	2019年5月28日 01:00
5	高匿代理服务	180.183.99.187:8080	中国 辽宁 锦州 联通	HTTP代理	1.5	118天 9小时 32分钟 56秒	452	2019年5月28日 01:00
6	高匿代理服务	186.88.105.66:8080	中国 广西 柳州 联通	HTTP代理	4.1	130天 16小时 58分钟 21秒	16	2019年5月28日 01:00
7	高匿代理服务	163.204.240.114:8118	中国 广东 汕尾 联通	HTTP代理	1.35	81天 3小时 0分钟 14秒	370	2019年5月28日 01:00
8	高匿代理服务	138.97.145.112:36487	中国 澳门  澳門電訊	HTTP代理	5.71	167天 3小时 33分钟 32秒	3250	2019年5月28日 01:00
9	高匿代理服务	123.163.117.45:9999	中国 河南 鹤壁 电信	HTTP代理	1.5	139天 14小时 7分钟 12秒	38	2019年5月28日 01:00
10	高匿代理服务	114.248.54.197:8060	中国 北京 北京 联通	HTTP代理	0.95	27天 9小时 39分钟 5秒	38	2019年5月28日 01:00
11	高匿代理服务	200.35.85.147:48180	中国 山东 济南 联通	HTTP代理	4.07	178天 12小时 43分钟 0秒	32431	2019年5月28日 01:00
12	高匿代理服务	118.136.133.37:8080	中国 浙江 衢州 电信	HTTP代理	5.35	27天 22小时 22分钟 33秒	203	2019年5月28日 01:00
13	高匿代理服务	202.95.136.134:8888	中国 台湾 彰化 谷歌	HTTP代理	6.11	178天 12小时 47分钟 35秒	4964	2019年5月28日 01:00
14	高匿代理服务	189.98.230.116:8080	中国 吉林 四平 联通	HTTP代理	1.13	69天 2小时 6分钟 59秒	19	2019年5月28日 01:00
15	高匿代理服务	46.54.192.54:35595	中国 广东 中山 移动	HTTP代理	4.74	83天 4小时 34分钟 52秒	2638	2019年5月28日 01:00
16	高匿代理服务	213.184.251.36:35006	中国 上海 上海 教育网	HTTP代理	2.11	153天 10小时 2分钟 50秒	1627	2019年5月28日 01:00
17	高匿代理服务	125.74.14.46:80	中国 甘肃 嘉峪关 电信	HTTP代理	0.74	179天 6小时 26分钟 59秒	13920	2019年5月28日 01:00
18	高匿代理服务	36.69.84.162:8080	中国 北京 北京 蓝讯通信技术	HTTP代理	6.09	131天 3小时 55分钟 35秒	319	2019年5月28日 01:00
19	高匿代理服务	36.74.28.185:8080	中国 湖南 张家界 电信	HTTP代理	4.25	91天 11小时 23分钟 22秒	721	2019年5月28日 01:00
