	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	41.217.219.61:53350	中国 四川 内江 联通	HTTP代理	5.7	165天 1小时 5分钟 27秒	1304	2019年5月28日 01:03
1	高匿代理服务	134.35.129.154:8080	中国 河南 洛阳 电联	HTTP代理	4.03	76天 13小时 46分钟 37秒	137	2019年5月28日 01:03
2	高匿代理服务	123.131.206.231:9999	中国 山东 临沂 联通	HTTP代理	1.16	121天 12小时 0分钟 32秒	19	2019年5月28日 01:03
3	高匿代理服务	157.230.45.206:8123	中国 广东 广州 UCloud云计算	HTTP代理	2.56	25天 23小时 2分钟 29秒	73	2019年5月28日 01:03
4	高匿代理服务	1.20.103.169:42675	中国 山东 东营 移动	HTTP代理	2.26	130天 6小时 9分钟 46秒	1275	2019年5月28日 01:03
5	高匿代理服务	78.85.22.213:54889	中国 江苏  联通	HTTP代理	4.92	188天 14小时 24分钟 24秒	18423	2019年5月28日 01:03
6	高匿代理服务	175.25.26.184:10080	中国 北京 北京 电信	HTTP代理	2.02	179天 2小时 2分钟 43秒	6106	2019年5月28日 01:03
7	高匿代理服务	190.193.8.28:58332	中国 吉林 四平 电信	HTTP代理	6.7	87天 13小时 38分钟 12秒	5775	2019年5月28日 01:03
8	高匿代理服务	111.177.180.77:9999	中国 湖北 随州 电信	HTTP代理	1.1	147天 17小时 8分钟 40秒	165	2019年5月28日 01:03
9	高匿代理服务	190.73.156.168:8080	中国 台湾 台中 中華電信	HTTP代理	3.51	152天 17小时 22分钟 19秒	31	2019年5月28日 01:03
10	高匿代理服务	58.55.197.146:9999	中国 湖北 鄂州 电信	HTTP代理	1.12	139天 11小时 19分钟 46秒	54	2019年5月28日 01:03
11	高匿代理服务	180.118.77.8:9999	中国 江苏 镇江 电信	HTTP代理	1.21	147天 21小时 23分钟 12秒	489	2019年5月28日 01:03
12	高匿代理服务	213.6.45.18:61166	中国 甘肃 白银 电信	HTTP代理	2.97	126天 20小时 32分钟 17秒	3219	2019年5月28日 01:03
