	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	46.219.80.142:48502	中国 黑龙江 哈尔滨 联通	HTTP代理	4.52	79天 0小时 37分钟 5秒	5084	2019年5月28日 01:01
1	高匿代理服务	36.83.96.217:8080	中国 香港  新世界电讯	HTTP代理	2.75	130天 23小时 30分钟 41秒	251	2019年5月28日 01:01
2	高匿代理服务	118.172.51.206:44251	中国 山东 济宁 联通	HTTP代理	2.26	130天 6小时 19分钟 49秒	1273	2019年5月28日 01:01
3	高匿代理服务	138.128.247.178:9006	中国 北京 北京 首都在线/电信	HTTP代理	6.88	31天 6小时 58分钟 43秒	39	2019年5月28日 01:01
4	高匿代理服务	1.192.240.215:9999	中国 河南 郑州 电信	HTTP代理	2.65	113天 8小时 26分钟 51秒	105	2019年5月28日 01:01
5	高匿代理服务	58.55.192.255:9999	中国 湖北 鄂州 电信	HTTP代理	1.1	139天 9小时 54分钟 12秒	58	2019年5月28日 01:01
6	高匿代理服务	177.130.95.119:8080	中国 浙江 杭州 铁通	HTTP代理	6.52	93天 10小时 36分钟 55秒	7413	2019年5月28日 01:01
7	高匿代理服务	46.33.253.29:33384	中国 江苏 无锡 电信/联通/移动	HTTP代理	2.31	179天 4小时 20分钟 44秒	8644	2019年5月28日 01:01
8	高匿代理服务	189.76.83.2:58897	中国 广东 珠海 电信	HTTP代理	4.78	179天 7小时 51分钟 22秒	6853	2019年5月28日 01:01
9	高匿代理服务	110.52.234.78:9999	中国 湖南 岳阳 联通	HTTP代理	5.86	155天 3小时 3分钟 42秒	756	2019年5月28日 01:01
10	高匿代理服务	177.66.54.109:8080	中国 黑龙江 大庆 电信	HTTP代理	2.37	71天 20小时 12分钟 49秒	18	2019年5月28日 01:01
11	高匿代理服务	120.83.109.209:9999	中国 广东 揭阳 联通	HTTP代理	3.87	75天 17小时 13分钟 33秒	17	2019年5月28日 01:01
12	高匿代理服务	212.237.18.249:2000	中国 河南 郑州 电信	HTTP代理	6.81	132天 16小时 13分钟 2秒	1304	2019年5月28日 01:01
13	高匿代理服务	112.85.174.92:9999	中国 江苏 南通 联通	HTTP代理	1.61	148天 11小时 18分钟 6秒	19	2019年5月28日 01:01
14	高匿代理服务	190.198.75.48:8080	中国 辽宁 盘锦 电信	HTTP代理	4.61	75天 16小时 25分钟 51秒	115	2019年5月28日 01:01
15	高匿代理服务	185.195.47.166:37647	中国 安徽 合肥 电信	HTTP代理	1.65	130天 5小时 18分钟 28秒	1175	2019年5月28日 01:01
16	高匿代理服务	189.126.76.48:54484	中国 山西 大同 联通	HTTP代理	4.61	152天 17小时 22分钟 1秒	667	2019年5月28日 01:01
17	高匿代理服务	117.90.7.129:9000	中国 江苏 镇江 电信	HTTP代理	3.37	175天 16小时 52分钟 18秒	17	2019年5月28日 01:01
18	高匿代理服务	46.216.163.153:44533	中国 宁夏 石嘴山 联通	HTTP代理	4.72	143天 11小时 37分钟 48秒	621	2019年5月28日 01:01
19	高匿代理服务	182.44.224.172:9999	中国 山东 日照 电信	HTTP代理	1.58	110天 16小时 48分钟 10秒	19	2019年5月28日 01:01
20	高匿代理服务	101.16.126.181:8080	中国 河北 石家庄 联通	HTTP代理	0.58	44天 20小时 16分钟 20秒	262	2019年5月28日 01:01
21	高匿代理服务	110.44.119.76:8080	中国 安徽 铜陵 铁通	HTTP代理	2.85	133天 1小时 44分钟 45秒	95	2019年5月28日 01:01
22	高匿代理服务	190.204.140.30:8080	中国 辽宁 阜新 电信	HTTP代理	3.99	87天 19小时 59分钟 16秒	49	2019年5月28日 01:01
23	高匿代理服务	150.95.162.240:9001	中国 河南 郑州 联通	HTTP代理	1.72	170天 21小时 13分钟 15秒	112	2019年5月28日 01:01
24	高匿代理服务	110.78.156.71:53281	中国 福建 南平 联通	HTTP代理	3.33	124天 8小时 19分钟 51秒	242	2019年5月28日 01:01
