	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	183.148.133.81:9999	中国 浙江 台州 电信	HTTP代理	4.77	105天 1小时 1分钟 23秒	14	2019年5月28日 00:52
1	高匿代理服务	117.240.135.42:61590	中国 辽宁 本溪 联通	HTTP代理	2.81	135天 3小时 51分钟 12秒	145	2019年5月28日 00:52
2	高匿代理服务	182.253.178.25:8080	中国 四川 眉山 联通	HTTP代理	2.06	145天 5小时 23分钟 43秒	203	2019年5月28日 00:52
3	高匿代理服务	171.97.151.179:8888	中国 重庆 重庆 电信	HTTP代理	2.07	93天 16小时 9分钟 24秒	28	2019年5月28日 00:52
4	高匿代理服务	134.35.194.95:8080	中国 北京 北京 京东云	HTTP代理	4.65	87天 18小时 34分钟 12秒	79	2019年5月28日 00:52
5	高匿代理服务	85.236.183.120:8080	中国 辽宁 盘锦 电信	HTTP代理	2.54	125天 11小时 43分钟 45秒	933	2019年5月28日 00:52
6	高匿代理服务	106.111.53.113:9999	中国 江苏 宿迁 电信	HTTP代理	1.15	121天 10小时 1分钟 34秒	19	2019年5月28日 00:52
7	高匿代理服务	200.8.109.110:8080	中国 河南 平顶山 平煤神马集团	HTTP代理	4.93	90天 17小时 56分钟 57秒	51	2019年5月28日 00:52
8	高匿代理服务	183.88.18.117:8080	中国 安徽 黄山 电信	HTTP代理	1.72	27天 15小时 18分钟 55秒	192	2019年5月28日 00:52
9	高匿代理服务	103.15.83.52:52673	中国 广东 惠州 铁通	HTTP代理	4.76	158天 18小时 24分钟 36秒	49	2019年5月28日 00:52
10	高匿代理服务	115.218.211.137:9000	中国 浙江 温州 电信	HTTP代理	1.46	70天 11小时 8分钟 49秒	38	2019年5月28日 00:52
11	高匿代理服务	171.6.214.75:8080	中国 新疆 乌鲁木齐 铁通	HTTP代理	4.5	75天 15小时 30分钟 14秒	71	2019年5月28日 00:52
12	高匿代理服务	120.83.123.1:9999	中国 广东 揭阳 联通	HTTP代理	1.42	14天 15小时 51分钟 27秒	19	2019年5月28日 00:52
13	高匿代理服务	223.206.222.236:8080	中国 湖北 鄂州 电信	HTTP代理	1.7	99天 20小时 11分钟 18秒	298	2019年5月28日 00:52
14	高匿代理服务	139.192.176.38:8081	中国 北京 北京 华瑞信通	HTTP代理	1.49	3天 12小时 46分钟 22秒	861	2019年5月28日 00:52
15	高匿代理服务	186.93.78.52:8080	中国 北京 北京 BGP多线	HTTP代理	2.96	99天 12小时 35分钟 19秒	17	2019年5月28日 00:52
16	高匿代理服务	94.156.8.33:48854	中国 天津 天津 联通	HTTP代理	1.52	128天 17小时 27分钟 10秒	1634	2019年5月28日 00:52
