	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	180.180.156.45:46519	中国 湖南 永州 电信	HTTP代理	2.28	122天 16小时 58分钟 47秒	2741	2019年5月28日 01:00
1	高匿代理服务	118.175.93.144:55153	中国 云南 昆明 联通	HTTP代理	6.87	99天 16小时 55分钟 38秒	8976	2019年5月28日 01:00
2	高匿代理服务	95.179.164.148:9000	中国 山东 济宁 移动	HTTP代理	1.22	12天 21小时 38分钟 14秒	56	2019年5月28日 01:00
3	高匿代理服务	115.199.120.132:8060	中国 浙江 杭州 电信	HTTP代理	0.71	29天 10小时 39分钟 34秒	93	2019年5月28日 01:00
4	高匿代理服务	171.80.2.54:9999	中国 湖北 襄阳 电信	HTTP代理	1.43	25天 21小时 23分钟 44秒	34	2019年5月28日 01:00
5	高匿代理服务	45.71.82.13:38040	中国 广东 东莞 电信	HTTP代理	4.84	139天 12小时 21分钟 48秒	80	2019年5月28日 01:00
6	高匿代理服务	190.199.197.80:8080	中国 云南 迪庆 电信	HTTP代理	3.33	170天 3小时 13分钟 41秒	65	2019年5月28日 01:00
7	高匿代理服务	190.198.24.38:8080	中国 山东 烟台 联通	HTTP代理	4.7	90天 18小时 18分钟 49秒	123	2019年5月28日 01:00
8	高匿代理服务	14.207.31.215:8080	中国 广东 江门 移动	HTTP代理	1.54	99天 12小时 7分钟 9秒	35	2019年5月28日 01:00
9	高匿代理服务	190.198.227.87:8080	中国 浙江 杭州 网易/BGP多线	HTTP代理	2.88	90天 19小时 24分钟 50秒	177	2019年5月28日 01:00
10	高匿代理服务	222.189.144.45:9999	中国 江苏 扬州 电信	HTTP代理	1.31	137天 1小时 36分钟 32秒	115	2019年5月28日 01:00
11	高匿代理服务	59.62.167.198:9999	中国 江西 宜春 电信	HTTP代理	1.6	121天 14小时 53分钟 36秒	38	2019年5月28日 01:00
12	高匿代理服务	45.71.82.12:38040	中国 福建 宁德 移动	HTTP代理	4.25	139天 21小时 43分钟 32秒	278	2019年5月28日 01:00
13	高匿代理服务	61.94.88.124:8080	中国 湖北 襄阳 移动/基站WiFi	HTTP代理	5.38	36天 13小时 36分钟 11秒	424	2019年5月28日 01:00
14	高匿代理服务	66.251.142.197:8080	中国 台湾  宏遠電訊	HTTP代理	2.62	102天 17小时 12分钟 2秒	452	2019年5月28日 01:00
15	高匿代理服务	201.208.11.158:8080	中国 香港  電訊盈科	HTTP代理	4.59	144天 21小时 26分钟 24秒	14	2019年5月28日 01:00
16	高匿代理服务	179.189.22.254:48857	中国 山东 德州 联通	HTTP代理	4.36	140天 13小时 5分钟 22秒	1926	2019年5月28日 01:00
17	高匿代理服务	163.125.221.179:8118	中国 广东 深圳 联通	HTTP代理	1.41	84天 19小时 28分钟 37秒	361	2019年5月28日 01:00
18	高匿代理服务	170.247.124.1:46306	中国 河南 三门峡 联通	HTTP代理	5.59	128天 14小时 0分钟 55秒	2131	2019年5月28日 01:00
19	高匿代理服务	180.247.176.4:8080	中国 江苏 南通 电信	HTTP代理	3.68	72天 5小时 57分钟 49秒	202	2019年5月28日 01:00
20	高匿代理服务	183.148.158.180:9999	中国 浙江 台州 电信	HTTP代理	1.22	137天 9小时 45分钟 38秒	72	2019年5月28日 01:00
21	高匿代理服务	202.147.206.182:48861	中国 广东 河源 电信	HTTP代理	1.94	136天 11小时 35分钟 32秒	1007	2019年5月28日 01:00
