	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	61.5.59.39:8080	中国 贵州 黔南 联通	HTTP代理	5.84	26天 17小时 42分钟 14秒	288	2019年5月28日 00:55
1	高匿代理服务	125.166.132.56:8080	中国 山东 威海 联通	HTTP代理	3.46	84天 15小时 12分钟 40秒	245	2019年5月28日 00:55
2	高匿代理服务	194.79.60.240:33266	中国 浙江 宁波 移动	HTTP代理	2.05	173天 14小时 16分钟 39秒	6986	2019年5月28日 00:55
3	高匿代理服务	125.110.101.156:9000	中国 浙江 温州 电信	HTTP代理	0.7	81天 1小时 53分钟 57秒	14	2019年5月28日 00:55
4	高匿代理服务	14.115.104.177:808	中国 广东 中山 电信	HTTP代理	4.55	7天 23小时 50分钟 11秒	179	2019年5月28日 00:55
5	高匿代理服务	31.217.222.160:50750	中国 安徽 六安 移动	HTTP代理	3.27	27天 23小时 46分钟 19秒	861	2019年5月28日 00:55
6	高匿代理服务	43.229.95.242:35262	中国 辽宁 营口 联通	HTTP代理	2.54	126天 21小时 20分钟 12秒	305	2019年5月28日 00:55
7	高匿代理服务	101.108.49.8:8080	中国 黑龙江 大兴安岭 联通	HTTP代理	2.61	25天 18小时 59分钟 44秒	18	2019年5月28日 00:55
8	高匿代理服务	190.78.13.151:8080	中国 贵州 黔南 移动	HTTP代理	4.69	27天 7小时 12分钟 1秒	16	2019年5月28日 00:55
9	高匿代理服务	171.97.245.207:8080	中国 四川 成都 铁通	HTTP代理	3.05	65天 14小时 21分钟 38秒	214	2019年5月28日 00:55
10	高匿代理服务	124.11.224.3:80	中国 台湾	HTTP代理	1.4	84天 8小时 44分钟 9秒	37	2019年5月28日 00:55
11	高匿代理服务	190.200.49.184:8080	中国 河北 沧州 联通	HTTP代理	3.15	164天 17小时 57分钟 53秒	66	2019年5月28日 00:55
12	高匿代理服务	61.228.46.210:8080	中国 台湾 台北 中華電信	HTTP代理	1.83	14天 15小时 52分钟 30秒	35	2019年5月28日 00:55
13	高匿代理服务	79.125.163.225:56039	中国 陕西 西安 电信	HTTP代理	2.2	73天 8小时 7分钟 43秒	1369	2019年5月28日 00:55
14	高匿代理服务	114.106.150.182:9999	中国 安徽 池州 电信	HTTP代理	5.35	133天 1小时 49分钟 59秒	55	2019年5月28日 00:55
15	高匿代理服务	60.189.109.43:9999	中国 浙江 台州 电信	HTTP代理	1.22	110天 16小时 34分钟 13秒	19	2019年5月28日 00:55
16	高匿代理服务	125.123.140.110:9999	中国 浙江 嘉兴 电信	HTTP代理	1.46	148天 15小时 21分钟 56秒	36	2019年5月28日 00:55
17	高匿代理服务	134.35.132.172:8080	中国 湖南 郴州 电信	HTTP代理	3.72	87天 21小时 21分钟 40秒	152	2019年5月28日 00:55
