	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	201.243.244.19:8080	中国 安徽 蚌埠 联通	HTTP代理	6.71	1小时 56分钟 47秒	25	2019年5月28日 00:53
1	高匿代理服务	191.248.226.218:35802	中国 江西 赣州 移动	HTTP代理	5.06	144天 19小时 52分钟 23秒	47935	2019年5月28日 00:53
2	高匿代理服务	109.200.177.163:8080	中国 云南 保山 电信	HTTP代理	3.62	1小时 55分钟 27秒	31	2019年5月28日 00:53
3	高匿代理服务	209.97.174.247:8080	中国 新疆 克孜勒苏 电信	HTTP代理	3.63	3天 1小时 46分钟 35秒	656	2019年5月28日 00:52
4	高匿代理服务	80.78.70.22:23500	中国 北京 北京 森华易腾	HTTP代理	4.28	178天 12小时 35分钟 5秒	11660	2019年5月28日 00:52
5	高匿代理服务	189.3.226.186:34105	中国 台湾 新北 中華電信	HTTP代理	3.39	10小时 27分钟 12秒	86	2019年5月28日 00:52
6	高匿代理服务	212.42.113.240:57963	中国 辽宁 朝阳 联通	HTTP代理	4.49	9天 7小时 16分钟 49秒	1138	2019年5月28日 00:52
7	高匿代理服务	45.4.85.78:9991	中国 香港  华为云	HTTP代理	2.89	89天 11小时 28分钟 49秒	828	2019年5月28日 00:52
8	高匿代理服务	176.58.67.44:32434	中国 河南  移动	HTTP代理	6.46	178天 12小时 39分钟 2秒	23607	2019年5月28日 00:52
9	高匿代理服务	131.255.35.218:36922	中国 江西 南昌 移动	HTTP代理	3.48	149天 14小时 9分钟 58秒	12900	2019年5月28日 00:52
10	高匿代理服务	207.148.123.115:31330	中国 江西 南昌 移动	HTTP代理	1.83	78天 0小时 41分钟 25秒	6711	2019年5月28日 00:52
11	高匿代理服务	202.5.42.133:32267	中国 辽宁 大连 移动	HTTP代理	3.95	16天 8小时 11分钟 59秒	484	2019年5月28日 00:52
12	高匿代理服务	202.149.101.118:8080	中国 重庆 重庆	HTTP代理	4.3	178天 12小时 24分钟 47秒	11105	2019年5月28日 00:52
13	高匿代理服务	200.153.145.174:35897	中国 北京 北京	HTTP代理	5.18	13天 17小时 0分钟 44秒	2606	2019年5月28日 00:52
14	高匿代理服务	185.22.174.68:655	中国 湖北 孝感 联通	HTTP代理	1.63	179天 7小时 36分钟 51秒	48181	2019年5月28日 00:52
15	高匿代理服务	185.24.34.253:53281	中国 新疆 乌鲁木齐 铁通	HTTP代理	4.03	272天 4小时 58分钟 54秒	232835	2019年5月28日 00:52
16	高匿代理服务	119.252.175.38:4550	中国 香港	HTTP代理	6.22	184天 6小时 20分钟 11秒	41763	2019年5月28日 00:52
