	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	190.207.178.207:8080	中国 辽宁 辽阳 移动	HTTP代理	5.38	14天 16小时 0分钟 11秒	10	2019年5月28日 00:51
1	高匿代理服务	124.120.59.34:8888	中国 河北 邯郸 电信	HTTP代理	5.43	102天 6小时 22分钟 17秒	17	2019年5月28日 00:51
2	高匿代理服务	110.77.215.204:8080	中国 香港  太平洋电信	HTTP代理	4.26	161天 4小时 42分钟 46秒	359	2019年5月28日 00:51
3	高匿代理服务	190.63.160.98:49973	中国 广东 惠州 联通	HTTP代理	4.08	143天 13小时 56分钟 58秒	1577	2019年5月28日 00:51
4	高匿代理服务	103.194.233.190:8000	中国 北京 北京 凤凰新媒体	HTTP代理	5.64	177天 13小时 17分钟 48秒	233	2019年5月28日 00:51
5	高匿代理服务	60.184.173.162:3128	中国 浙江 丽水 电信	HTTP代理	3.63	152天 20小时 52分钟 43秒	121	2019年5月28日 00:51
6	高匿代理服务	92.242.255.45:46811	中国 浙江 绍兴 电信	HTTP代理	6.62	120天 16小时 5分钟 2秒	7099	2019年5月28日 00:51
7	高匿代理服务	180.247.232.158:8080	中国 北京 北京 美团/联通/电信	HTTP代理	4.92	66天 14小时 41分钟 3秒	849	2019年5月28日 00:51
8	高匿代理服务	185.232.133.157:58752	中国 香港  腾讯云	HTTP代理	5.8	128天 13小时 47分钟 59秒	2191	2019年5月28日 00:51
9	高匿代理服务	122.4.43.1:9999	中国 山东 济南 电信	HTTP代理	1.02	139天 11小时 3分钟 49秒	57	2019年5月28日 00:51
10	高匿代理服务	119.102.190.149:9999	中国 湖北 黄冈 电信	HTTP代理	3.23	96天 19小时 35分钟 29秒	85	2019年5月28日 00:51
11	高匿代理服务	5.202.44.74:8080	中国 台湾 新北	HTTP代理	2.81	143天 16小时 0分钟 11秒	126	2019年5月28日 00:51
12	高匿代理服务	179.189.204.18:8080	中国 河南 南阳 移动	HTTP代理	6.87	43天 10小时 4分钟 6秒	296	2019年5月28日 00:51
13	高匿代理服务	163.125.251.27:8118	中国 广东 深圳 联通	HTTP代理	0.56	153天 22小时 48分钟 56秒	106	2019年5月28日 00:51
14	高匿代理服务	134.35.1.194:8080	中国 广西 桂林 联通	HTTP代理	6.72	73天 7小时 22分钟 32秒	26	2019年5月28日 00:51
15	高匿代理服务	190.239.41.249:8080	中国 浙江 绍兴 联通	HTTP代理	2.24	164天 17小时 9分钟 9秒	100	2019年5月28日 00:51
16	高匿代理服务	111.177.185.69:9999	中国 湖北 随州 电信	HTTP代理	1.16	148天 10小时 52分钟 40秒	19	2019年5月28日 00:51
17	高匿代理服务	58.55.128.11:9999	中国 湖北 鄂州 电信	HTTP代理	1.15	139天 11小时 5分钟 6秒	77	2019年5月28日 00:51
18	高匿代理服务	113.53.56.223:8080	中国 山东 滨州 联通	HTTP代理	6.37	32天 17小时 24分钟 0秒	53	2019年5月28日 00:51
19	高匿代理服务	36.71.150.139:8080	中国 北京 北京 联通	HTTP代理	5.75	178天 12小时 19分钟 40秒	6686	2019年5月28日 00:51
20	高匿代理服务	191.28.21.58:8080	中国 江苏 泰州 电信	HTTP代理	4.94	143天 14小时 17分钟 0秒	13	2019年5月28日 00:51
21	高匿代理服务	113.128.8.159:9999	中国 山东 济南 电信	HTTP代理	4.35	99天 11小时 23分钟 28秒	14	2019年5月28日 00:51
22	高匿代理服务	171.4.89.63:8080	中国 河北 石家庄 电信	HTTP代理	1.88	18天 9小时 57分钟 59秒	113	2019年5月28日 00:51
23	高匿代理服务	109.74.34.113:8080	中国 河南 郑州 电信	HTTP代理	2.97	143天 14小时 19分钟 10秒	52	2019年5月28日 00:51
24	高匿代理服务	61.14.230.122:44525	中国 辽宁 沈阳 电信	HTTP代理	3.29	129天 14小时 3分钟 38秒	1841	2019年5月28日 00:51
25	高匿代理服务	95.52.11.65:8080	中国 新疆 哈密 联通	HTTP代理	1.64	105天 0小时 20分钟 54秒	38	2019年5月28日 00:51
26	高匿代理服务	125.110.99.251:9000	中国 浙江 温州 电信	HTTP代理	0.61	90天 23小时 4分钟 2秒	19	2019年5月28日 00:51
