	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	190.200.40.149:8080	中国 内蒙古 兴安盟 联通	HTTP代理	3.81	90天 15小时 32分钟 15秒	50	2019年5月28日 01:00
1	高匿代理服务	176.192.72.226:50509	中国 广东 广州 教育网	HTTP代理	4.7	120天 16小时 13分钟 54秒	14840	2019年5月28日 01:00
2	高匿代理服务	190.39.140.54:8080	中国 福建 莆田 联通	HTTP代理	4.65	87天 20小时 5分钟 39秒	57	2019年5月28日 01:00
3	高匿代理服务	113.13.160.106:9999	中国 广西 柳州 电信	HTTP代理	2.48	128天 10小时 51分钟 20秒	1101	2019年5月28日 01:00
4	高匿代理服务	125.123.139.39:9999	中国 浙江 嘉兴 电信	HTTP代理	4.32	136天 22小时 54分钟 45秒	15	2019年5月28日 01:00
5	高匿代理服务	27.208.30.193:8060	中国 山东 威海 联通	HTTP代理	0.58	133天 3小时 32分钟 18秒	231	2019年5月28日 01:00
6	高匿代理服务	124.12.54.160:80	中国 台湾 高雄	HTTP代理	1.39	81天 10小时 26分钟 37秒	871	2019年5月28日 01:00
7	高匿代理服务	123.161.23.82:9797	中国 河南 安阳 电信	HTTP代理	6.46	136天 21小时 42分钟 44秒	1185	2019年5月28日 01:00
8	高匿代理服务	117.254.58.212:8080	中国 云南 怒江 电信	HTTP代理	6.23	43天 13小时 51分钟 27秒	444	2019年5月28日 01:00
9	高匿代理服务	113.121.144.198:9999	中国 山东 泰安 电信	HTTP代理	1.18	111天 0小时 6分钟 30秒	55	2019年5月28日 01:00
10	高匿代理服务	110.77.214.20:8080	中国 湖南 衡阳 移动	HTTP代理	4.26	81天 19小时 32分钟 29秒	1105	2019年5月28日 01:00
11	高匿代理服务	64.183.32.218:45441	中国 四川 巴中 电信	HTTP代理	2.45	170天 10小时 54分钟 59秒	3961	2019年5月28日 01:00
12	高匿代理服务	61.184.43.22:9999	中国 湖北 荆州 电信	HTTP代理	1.35	136天 19小时 44分钟 35秒	38	2019年5月28日 01:00
13	高匿代理服务	113.116.144.41:9000	中国 广东 深圳 电信	HTTP代理	6.98	26天 11小时 31分钟 38秒	132	2019年5月28日 01:00
14	高匿代理服务	192.198.96.17:3128	中国 广东 东莞 移动	HTTP代理	2.97	87天 17小时 46分钟 45秒	49	2019年5月28日 01:00
15	高匿代理服务	27.184.25.118:8060	中国 河北 石家庄 电信	HTTP代理	0.53	152天 19小时 22分钟 45秒	790	2019年5月28日 01:00
16	高匿代理服务	67.198.188.73:3128	中国 山西 大同 电信	HTTP代理	5.75	156天 12小时 37分钟 38秒	1736	2019年5月28日 01:00
17	高匿代理服务	183.148.150.228:9999	中国 浙江 台州 电信	HTTP代理	6.52	130天 18小时 1分钟 21秒	56	2019年5月28日 01:00
