Unnamed: 0	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
39	高匿代理服务	188.169.66.70:55538	中国 江苏 无锡 电信/联通/移动	HTTP代理	1.04	36天 13小时 48分钟 0秒	813	2019年5月6日 13:12
40	高匿代理服务	92.51.40.1:8080	中国 广东 江门 联通	HTTP,HTTPS代理	5.46	157天 1小时 1分钟 30秒	20373	2019年5月6日 13:12
41	高匿代理服务	183.129.244.22:11233	中国 浙江 杭州 电信	HTTP,HTTPS代理	3.17	7天 14小时 12分钟 32秒	18	2019年5月6日 13:12
42	高匿代理服务	103.85.92.221:8080	中国 云南 文山 电信	HTTP,HTTPS代理	2.97	156天 17小时 57分钟 56秒	463	2019年5月6日 13:12
43	高匿代理服务	190.152.5.126:53040	中国 四川 自贡 联通	HTTP代理	2.38	157天 0小时 59分钟 44秒	34244	2019年5月6日 13:12
44	高匿代理服务	202.74.243.214:31601	中国 湖北 襄阳 电信	HTTP,HTTPS代理	5.29	152天 19小时 13分钟 42秒	41797	2019年5月6日 13:11
45	高匿代理服务	77.42.248.119:8080	中国 台湾  谷歌	HTTP,HTTPS代理	4.62	133天 19小时 15分钟 34秒	14104	2019年5月6日 13:11
46	高匿代理服务	62.133.174.73:53281	中国 广西 钦州 联通	HTTP,HTTPS代理	3.81	88天 7小时 38分钟 7秒	25236	2019年5月6日 13:11
47	高匿代理服务	196.202.229.6:8080	中国 河南 安阳 移动	HTTP,HTTPS代理	3.2	151天 7小时 23分钟 23秒	41764	2019年5月6日 13:11
48	高匿代理服务	112.95.16.14:8118	中国 广东 深圳 联通	HTTPS代理	2.39	75天 2小时 50分钟 40秒	21	2019年5月6日 13:10
49	高匿代理服务	124.41.211.231:38882	中国 四川 遂宁 电信	HTTP,HTTPS代理	5.65	6天 0小时 18分钟 11秒	495	2019年5月6日 13:09
0	高匿代理服务	45.115.60.7:44096	中国 云南 曲靖 电信	HTTP,HTTPS代理	4.99	23天 8小时 27分钟 56秒	6433	2019年5月28日 01:08
1	高匿代理服务	83.171.96.249:8080	中国 北京 北京 天地祥云/电信	HTTPS代理	3.24	100天 11小时 58分钟 52秒	25903	2019年5月28日 01:08
2	高匿代理服务	70.28.43.61:8080	中国 四川 成都 科技网	HTTP,HTTPS代理	2.41	178天 12小时 54分钟 18秒	58342	2019年5月28日 01:08
3	高匿代理服务	186.96.121.178:54757	中国 广西 梧州 移动	HTTP,HTTPS代理	2.47	13天 6小时 53分钟 58秒	3283	2019年5月28日 01:08
4	高匿代理服务	178.18.68.111:53281	中国 吉林 长春 电信	HTTP,HTTPS代理	6.77	42天 7小时 6分钟 1秒	10881	2019年5月28日 01:08
5	高匿代理服务	36.91.90.39:57797	中国 广东 河源 电信	HTTP,HTTPS代理	5.66	8天 10小时 29分钟 3秒	1456	2019年5月28日 01:08
6	高匿代理服务	206.40.115.2:8080	中国 辽宁 抚顺 联通	HTTP,HTTPS代理	5.69	178天 12小时 56分钟 18秒	52824	2019年5月28日 01:08
7	高匿代理服务	176.110.121.90:21776	中国 甘肃 武威 联通	HTTP,HTTPS代理	2.01	178天 12小时 53分钟 39秒	49867	2019年5月28日 01:08
8	高匿代理服务	134.119.222.248:1080	中国 江西 宜春 移动	HTTP代理	5.07	90天 7小时 45分钟 31秒	25746	2019年5月28日 01:08
9	高匿代理服务	191.252.113.76:80	中国 天津 天津 电信	HTTP代理	1.12	7小时 27分钟 11秒	175	2019年5月28日 01:08
10	高匿代理服务	190.217.66.147:80	中国 安徽 安庆 电信	HTTP,HTTPS代理	2.23	12天 7小时 41分钟 44秒	3797	2019年5月28日 01:08
11	高匿代理服务	112.78.177.13:8080	中国 江西 宜春 联通	HTTP,HTTPS代理	3.67	7天 22小时 44分钟 48秒	1780	2019年5月28日 01:08
12	高匿代理服务	85.174.227.52:59280	中国 浙江 舟山 电信	HTTP代理	2.4	178天 12小时 56分钟 43秒	48114	2019年5月28日 01:08
13	高匿代理服务	83.243.66.214:37572	中国 浙江 宁波 移动	HTTP,HTTPS代理	3.06	178天 12小时 54分钟 11秒	38066	2019年5月28日 01:08
14	高匿代理服务	130.193.112.146:36923	中国 新疆 哈密 联通	HTTP,HTTPS代理	4.21	232天 22小时 47分钟 22秒	308595	2019年5月28日 01:08
15	高匿代理服务	37.252.64.73:8080	中国 四川 广元 移动	HTTP,HTTPS代理	4.19	62天 5小时 12分钟 1秒	7882	2019年5月28日 01:08
16	高匿代理服务	89.150.33.224:41258	中国 四川 自贡 移动	HTTPS代理	6.47	7天 18小时 46分钟 35秒	1306	2019年5月28日 01:08
17	高匿代理服务	190.122.187.230:55578	中国 江西 九江 电信	HTTPS代理	5.76	178天 12小时 54分钟 15秒	27661	2019年5月28日 01:08
18	高匿代理服务	203.176.142.98:8080	中国 四川 绵阳 联通	HTTP,HTTPS代理	4.03	92天 8小时 41分钟 19秒	22288	2019年5月28日 01:08
19	高匿代理服务	110.78.179.42:8080	中国 湖北 荆门 铁通	HTTP,HTTPS代理	5.96	2天 2小时 13分钟 26秒	995	2019年5月28日 01:08
20	高匿代理服务	77.221.220.133:44331	中国 贵州 六盘水 电信	HTTP,HTTPS代理	4.38	178天 12小时 53分钟 17秒	60485	2019年5月28日 01:08
21	高匿代理服务	182.253.217.78:8080	中国 四川 绵阳 电信	HTTP,HTTPS代理	5.93	18小时 47分钟 3秒	426	2019年5月28日 01:08
22	高匿代理服务	210.26.64.44:3128	中国 甘肃 兰州 教育网	HTTP,HTTPS代理	1.79	2天 23小时 18分钟 23秒	2028	2019年5月28日 01:08
23	高匿代理服务	78.43.167.123:80	中国 陕西 商洛 联通	HTTP代理	3.7	33天 1小时 6分钟 36秒	1437	2019年5月28日 01:08
24	高匿代理服务	47.252.6.232:3128	中国 云南 迪庆 联通	HTTP代理	3.69	15天 1小时 42分钟 16秒	3923	2019年5月28日 01:08
25	高匿代理服务	180.251.255.33:8080	中国 江西 鹰潭 移动	HTTP,HTTPS代理	6.19	1天 18小时 26分钟 11秒	996	2019年5月28日 01:08
26	高匿代理服务	134.119.222.254:1080	中国 江西 宜春 电信	HTTP代理	3.25	87天 1小时 12分钟 50秒	23916	2019年5月28日 01:08
27	高匿代理服务	87.248.82.200:53281	中国 辽宁 大连 教育网	HTTP,HTTPS代理	4.86	6天 2小时 15分钟 46秒	2922	2019年5月28日 01:08
28	高匿代理服务	110.74.208.154:21776	中国 河南 濮阳 移动	HTTPS代理	6.97	72天 4小时 41分钟 30秒	12509	2019年5月28日 01:08
29	高匿代理服务	190.60.69.114:8080	中国 内蒙古 呼和浩特 联通	HTTPS代理	6.93	178天 12小时 53分钟 21秒	45075	2019年5月28日 01:08
