Unnamed: 0	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
49	高匿代理服务	112.85.164.191:9999	中国 江苏 南通 联通	HTTP代理	1.24	94天 2小时 44分钟 27秒	38	2019年5月28日 01:02
0	高匿代理服务	171.97.202.153:8080	中国 河南 三门峡 电信	HTTP代理	2.28	159天 3小时 38分钟 41秒	516	2019年5月28日 01:02
1	高匿代理服务	119.179.149.249:8060	中国 山东 威海 联通	HTTP代理	0.53	161天 11小时 3分钟 42秒	1077	2019年5月28日 01:02
2	高匿代理服务	36.65.186.10:8080	中国 北京 北京 移动	HTTP代理	4.36	99天 20小时 46分钟 42秒	351	2019年5月28日 01:02
3	高匿代理服务	1.198.73.150:9999	中国 河南 济源 电信	HTTP代理	5.55	139天 12小时 55分钟 52秒	72	2019年5月28日 01:02
4	高匿代理服务	190.200.156.55:8080	中国 河南 郑州	HTTP代理	4.68	24天 1小时 16分钟 29秒	10	2019年5月28日 01:02
5	高匿代理服务	134.35.93.109:8080	中国 北京 北京 青云QingCloud/联通	HTTP代理	4.05	76天 15小时 14分钟 24秒	277	2019年5月28日 01:02
6	高匿代理服务	116.209.55.84:9999	中国 湖北 仙桃 电信	HTTP代理	3.6	103天 17小时 22分钟 11秒	141	2019年5月28日 01:02
7	高匿代理服务	115.193.98.12:9000	中国 浙江 杭州 电信	HTTP代理	0.54	93天 15小时 1分钟 34秒	19	2019年5月28日 01:02
8	高匿代理服务	117.90.6.160:9999	中国 江苏 镇江 电信	HTTP代理	6.5	99天 12小时 50分钟 52秒	13	2019年5月28日 01:02
9	高匿代理服务	85.62.133.7:80	中国 辽宁 本溪 联通	HTTP代理	1.8	100天 14小时 50分钟 57秒	885	2019年5月28日 01:02
10	高匿代理服务	134.35.71.212:8080	中国 四川 成都 科技网	HTTP代理	2.82	167天 22小时 2分钟 59秒	278	2019年5月28日 01:02
11	高匿代理服务	81.163.62.221:56895	中国 山东 泰安 联通	HTTP代理	2.1	154天 6小时 37分钟 59秒	307	2019年5月28日 01:02
12	高匿代理服务	144.202.3.139:9182	中国 安徽 马鞍山 移动	HTTP代理	4.68	89天 21小时 8分钟 15秒	3977	2019年5月28日 01:02
13	高匿代理服务	87.198.116.178:8080	中国 四川 成都 移动	HTTP代理	3.66	133天 3小时 43分钟 35秒	124	2019年5月28日 01:02
14	高匿代理服务	134.35.90.42:8080	中国 福建 三明 电信	HTTP代理	3.68	151天 11小时 39分钟 38秒	63	2019年5月28日 01:02
15	高匿代理服务	134.35.246.163:8080	中国 湖北 荆门 铁通	HTTP代理	2.95	151天 10小时 57分钟 51秒	43	2019年5月28日 01:02
16	高匿代理服务	206.189.44.245:31330	中国 四川 巴中 电信	HTTP代理	3.09	77天 17小时 11分钟 20秒	784	2019年5月28日 01:02
17	高匿代理服务	106.81.230.48:8118	中国 重庆 重庆 电信	HTTP代理	1.37	172天 2小时 18分钟 45秒	147	2019年5月28日 01:02
18	高匿代理服务	177.55.90.213:23500	中国 湖南 永州 联通	HTTP代理	3.9	166天 7小时 20分钟 14秒	71	2019年5月28日 01:02
19	高匿代理服务	112.78.44.177:59805	中国 云南 临沧 联通	HTTP代理	1.69	82天 4小时 9分钟 20秒	1887	2019年5月28日 01:02
20	高匿代理服务	91.200.114.72:8080	中国 香港  香港电讯	HTTP代理	3.08	86天 6小时 24分钟 11秒	706	2019年5月28日 01:02
21	高匿代理服务	185.81.99.205:41861	中国 辽宁 沈阳 教育网	HTTP代理	2.3	114天 11小时 0分钟 7秒	1098	2019年5月28日 01:02
22	高匿代理服务	134.35.95.50:8080	中国 北京 北京 Amazon	HTTP代理	3.6	134天 22小时 49分钟 3秒	49	2019年5月28日 01:02
23	高匿代理服务	81.163.62.221:55996	中国 海南 乐东 电信	HTTP代理	2.07	130天 6小时 55分钟 24秒	1304	2019年5月28日 01:02
24	高匿代理服务	139.255.123.90:39561	中国 广西 北海 移动	HTTP代理	4.8	152天 22小时 10分钟 37秒	6914	2019年5月28日 01:02
25	高匿代理服务	190.198.145.84:8080	中国 海南 三亚 电信	HTTP代理	4.17	168天 23小时 55分钟 51秒	48	2019年5月28日 01:02
26	高匿代理服务	119.54.167.64:8080	中国 吉林 四平 联通	HTTP代理	0.69	24天 20小时 9分钟 37秒	290	2019年5月28日 01:02
27	高匿代理服务	27.29.45.203:9999	中国 湖北 黄冈 电信	HTTP代理	2.81	145天 7小时 46分钟 16秒	571	2019年5月28日 01:02
28	高匿代理服务	103.199.159.225:35249	中国 广东 汕头 移动	HTTP代理	6.78	178天 12小时 50分钟 36秒	1821	2019年5月28日 01:02
29	高匿代理服务	143.137.149.21:51457	中国 北京 北京 腾讯云/国际节点	HTTP代理	3.14	126天 9小时 14分钟 6秒	3106	2019年5月28日 01:02
30	高匿代理服务	62.80.173.75:53281	中国 福建 南平 电信	HTTP代理	6.23	7天 18小时 40分钟 32秒	132	2019年5月28日 01:01
31	高匿代理服务	183.148.150.184:9999	中国 浙江 台州 电信	HTTP代理	1.22	148天 11小时 56分钟 27秒	19	2019年5月28日 01:01
32	高匿代理服务	186.88.127.155:8080	中国 北京 北京 BGP多线	HTTP代理	4.05	142天 4小时 4分钟 45秒	31	2019年5月28日 01:01
33	高匿代理服务	134.35.111.142:8080	中国 上海 上海 松江科技	HTTP代理	5.99	57天 19小时 5分钟 22秒	154	2019年5月28日 01:01
34	高匿代理服务	189.83.148.79:8080	中国 天津 天津 电信	HTTP代理	2.76	131天 2小时 6分钟 46秒	254	2019年5月28日 01:01
35	高匿代理服务	177.91.201.153:8080	中国 山东 东营 移动	HTTP代理	3.12	87天 10小时 52分钟 5秒	6753	2019年5月28日 01:01
36	高匿代理服务	190.74.184.70:8080	中国 河南 漯河 联通	HTTP代理	1.64	80天 22小时 13分钟 26秒	64	2019年5月28日 01:01
37	高匿代理服务	81.163.58.195:41258	中国 香港  安畅	HTTP代理	3.62	122天 5小时 10分钟 12秒	30548	2019年5月28日 01:01
38	高匿代理服务	103.198.137.97:31056	中国 黑龙江 大庆 联通	HTTP代理	2.04	152天 14小时 34分钟 13秒	2616	2019年5月28日 01:01
39	高匿代理服务	176.197.103.198:46836	中国 江苏 扬州 移动	HTTP代理	4.22	154天 17小时 41分钟 35秒	1527	2019年5月28日 01:01
40	高匿代理服务	143.137.148.18:51457	中国 山东 泰安 联通	HTTP代理	5.44	122天 3小时 53分钟 42秒	431	2019年5月28日 01:01
41	高匿代理服务	36.71.94.196:53281	中国 山西 大同 联通	HTTP代理	3.95	121天 8小时 20分钟 16秒	35	2019年5月28日 01:01
42	高匿代理服务	39.81.61.210:9000	中国 山东 菏泽 联通	HTTP代理	1.55	67天 19小时 45分钟 52秒	38	2019年5月28日 01:01
43	高匿代理服务	134.236.24.33:8080	中国 江西 新余 联通	HTTP代理	3.64	151天 0小时 44分钟 53秒	989	2019年5月28日 01:01
44	高匿代理服务	182.52.110.159:8080	中国 北京 北京 首都在线科技	HTTP代理	2.29	31天 9小时 29分钟 51秒	107	2019年5月28日 01:01
45	高匿代理服务	159.192.253.63:8080	中国 福建 福州 联通	HTTP代理	3.35	153天 14小时 4分钟 23秒	442	2019年5月28日 01:01
46	高匿代理服务	5.178.58.113:56361	中国 浙江 台州 移动	HTTP代理	4.16	116天 7小时 22分钟 29秒	456	2019年5月28日 01:01
47	高匿代理服务	189.70.157.147:8080	中国 北京 北京 科技网	HTTP代理	3.42	130天 17小时 2分钟 50秒	17	2019年5月28日 01:01
48	高匿代理服务	59.62.6.88:9000	中国 江西 萍乡 电信	HTTP代理	0.76	59天 4小时 12分钟 6秒	58	2019年5月28日 01:01
49	高匿代理服务	163.204.241.153:9999	中国 广东 汕尾 联通	HTTP代理	1.18	131天 7小时 3分钟 23秒	36	2019年5月28日 01:01
0	高匿代理服务	117.255.223.28:8080	中国 湖北 潜江 电信	HTTP代理	5.79	78天 7小时 6分钟 50秒	2679	2019年5月28日 01:01
1	高匿代理服务	111.176.31.216:9999	中国 湖北 荆州 电信	HTTP代理	6.94	136天 20小时 25分钟 2秒	86	2019年5月28日 01:01
2	高匿代理服务	1.192.244.168:9999	中国 河南 郑州 电信	HTTP代理	1.39	105天 2小时 39分钟 30秒	19	2019年5月28日 01:01
3	高匿代理服务	189.126.76.239:8080	中国 山西 忻州 铁通	HTTP代理	4.79	76天 20小时 35分钟 0秒	869	2019年5月28日 01:01
4	高匿代理服务	82.212.17.48:8080	中国 辽宁 盘锦 电信	HTTP代理	0.65	99天 16小时 37分钟 17秒	192	2019年5月28日 01:01
5	高匿代理服务	111.255.167.205:80	中国 台湾 台南 中華電信	HTTP代理	1.31	124天 0小时 51分钟 54秒	38	2019年5月28日 01:01
6	高匿代理服务	201.242.136.207:8080	中国 江苏 连云港 电信	HTTP代理	3.37	99天 12小时 7分钟 48秒	12	2019年5月28日 01:01
7	高匿代理服务	103.80.38.151:59166	中国 江西 南昌 移动	HTTP代理	2.42	154天 4小时 23分钟 15秒	252	2019年5月28日 01:01
8	高匿代理服务	52.86.119.10:80	中国 上海 上海 阿里巴巴	HTTP代理	4.67	108天 19小时 38分钟 10秒	1453	2019年5月28日 01:01
9	高匿代理服务	49.49.66.107:8080	中国 香港  電訊盈科	HTTP代理	1.58	99天 20小时 40分钟 18秒	321	2019年5月28日 01:01
10	高匿代理服务	111.177.170.138:9999	中国 湖北 随州 电信	HTTP代理	1.12	140天 9小时 31分钟 27秒	335	2019年5月28日 01:01
11	高匿代理服务	183.148.134.118:9999	中国 浙江 台州 电信	HTTP代理	1.44	148天 23小时 6分钟 42秒	19	2019年5月28日 01:01
12	高匿代理服务	119.42.76.134:8080	中国 江西 新余 移动	HTTP代理	3.84	99天 17小时 19分钟 20秒	251	2019年5月28日 01:01
13	高匿代理服务	113.121.147.203:9999	中国 山东 泰安 电信	HTTP代理	1.11	96天 16小时 4分钟 43秒	19	2019年5月28日 01:01
14	高匿代理服务	191.252.201.96:80	中国 北京 北京 青云QingCloud/BGP多线	HTTP代理	4.35	92天 12小时 6分钟 21秒	14948	2019年5月28日 01:01
15	高匿代理服务	62.221.119.117:8080	中国 安徽 宿州 移动	HTTP代理	1.75	90天 4小时 8分钟 49秒	14386	2019年5月28日 01:01
16	高匿代理服务	37.220.68.18:56847	中国 山东 滨州 联通	HTTP代理	1.23	166天 16小时 14分钟 31秒	588	2019年5月28日 01:01
17	高匿代理服务	171.39.78.8:8123	中国 广西 百色 联通	HTTP代理	1.31	93天 15小时 34分钟 9秒	19	2019年5月28日 01:01
18	高匿代理服务	111.177.166.116:9999	中国 湖北 随州 电信	HTTP代理	1.3	124天 9小时 26分钟 30秒	89	2019年5月28日 01:01
19	高匿代理服务	113.121.145.59:9999	中国 山东 泰安 电信	HTTP代理	1.21	126天 9小时 24分钟 35秒	19	2019年5月28日 01:01
20	高匿代理服务	81.163.52.172:41258	中国 吉林 吉林 移动	HTTP代理	3.28	130天 5小时 49分钟 28秒	9046	2019年5月28日 01:01
21	高匿代理服务	124.122.167.21:8080	中国 河南 濮阳 电信	HTTP代理	3.31	72天 15小时 52分钟 46秒	368	2019年5月28日 01:01
22	高匿代理服务	201.208.122.129:8080	中国 江苏 扬州 移动	HTTP代理	3.37	24天 1小时 9分钟 29秒	17	2019年5月28日 01:01
23	高匿代理服务	125.110.73.191:9000	中国 浙江 温州 电信	HTTP代理	0.63	70天 14小时 29分钟 51秒	19	2019年5月28日 01:01
24	高匿代理服务	119.178.222.77:9000	中国 山东 菏泽 联通	HTTP代理	0.59	52天 20小时 32分钟 36秒	19	2019年5月28日 01:01
25	高匿代理服务	180.118.241.19:9999	中国 江苏 镇江 电信	HTTP代理	1.33	130天 16小时 15分钟 9秒	19	2019年5月28日 01:01
26	高匿代理服务	168.253.115.4:54041	中国 海南 白沙 电信	HTTP代理	1.6	178天 12小时 46分钟 38秒	1820	2019年5月28日 01:01
27	高匿代理服务	58.50.0.159:9999	中国 湖北 荆州 电信	HTTP代理	1.28	136天 22小时 41分钟 26秒	128	2019年5月28日 01:01
28	高匿代理服务	180.118.134.22:9000	中国 江苏 镇江 电信	HTTP代理	0.95	90天 12小时 49分钟 41秒	19	2019年5月28日 01:01
29	高匿代理服务	117.90.252.31:9000	中国 江苏 镇江 电信	HTTP代理	0.72	73天 16小时 34分钟 15秒	74	2019年5月28日 01:01
30	高匿代理服务	223.204.13.208:8080	中国 西藏 拉萨 移动	HTTP代理	1.71	79天 2小时 54分钟 42秒	3917	2019年5月28日 01:01
31	高匿代理服务	113.13.160.154:9999	中国 广西 柳州 电信	HTTP代理	1.93	126天 8小时 1分钟 59秒	11	2019年5月28日 01:01
32	高匿代理服务	181.129.141.218:50459	中国 辽宁 本溪 联通	HTTP代理	5.18	101天 0小时 34分钟 26秒	1198	2019年5月28日 01:01
33	高匿代理服务	145.255.39.75:53281	中国 宁夏 固原 电信	HTTP代理	1.59	130天 18小时 37分钟 50秒	76	2019年5月28日 01:01
34	高匿代理服务	121.233.207.245:9999	中国 江苏 扬州 电信	HTTP代理	3.2	136天 21小时 59分钟 48秒	75	2019年5月28日 01:01
35	高匿代理服务	52.68.185.156:3128	中国 福建 漳州 电信	HTTP代理	1.3	66天 13小时 7分钟 3秒	57	2019年5月28日 01:01
36	高匿代理服务	180.180.156.53:38034	中国 新疆 伊犁 移动	HTTP代理	2.22	122天 15小时 41分钟 36秒	2695	2019年5月28日 01:01
37	高匿代理服务	5.160.82.67:45220	中国 四川 资阳 电信	HTTP代理	3.55	152天 22小时 8分钟 30秒	1354	2019年5月28日 01:01
38	高匿代理服务	111.205.46.26:80	中国 北京 北京 联通	HTTP代理	0.77	101天 0小时 1分钟 59秒	34323	2019年5月28日 01:01
39	高匿代理服务	201.243.162.28:8080	中国 山东 淄博 联通	HTTP代理	4.78	87天 19小时 12分钟 11秒	35	2019年5月28日 01:01
40	高匿代理服务	180.252.231.22:8080	中国 台湾 南投 中華電信	HTTP代理	6.72	94天 2小时 50分钟 33秒	367	2019年5月28日 01:01
41	高匿代理服务	179.149.236.11:8080	中国 吉林 吉林 联通	HTTP代理	1.07	32天 16小时 3分钟 44秒	56	2019年5月28日 01:01
42	高匿代理服务	43.229.74.237:23500	中国 山东 枣庄 联通	HTTP代理	3.21	174天 13小时 26分钟 3秒	700	2019年5月28日 01:01
43	高匿代理服务	109.228.168.182:54290	中国 新疆 石河子 电信	HTTP代理	2.05	138天 18小时 6分钟 0秒	2403	2019年5月28日 01:01
44	高匿代理服务	1.199.31.211:9999	中国 河南 济源 电信	HTTP代理	1.79	107天 23小时 52分钟 1秒	38	2019年5月28日 01:01
45	高匿代理服务	103.106.238.111:8080	中国 上海 上海 联通	HTTP代理	4.73	178天 12小时 45分钟 51秒	14499	2019年5月28日 01:01
46	高匿代理服务	186.88.120.144:8080	中国 贵州 铜仁 电信	HTTP代理	6.03	124天 5小时 14分钟 16秒	65	2019年5月28日 01:01
47	高匿代理服务	138.128.247.207:9006	中国 四川 成都 教育网	HTTP代理	6.28	29天 11小时 30分钟 51秒	40	2019年5月28日 01:01
48	高匿代理服务	78.138.171.35:30954	中国 湖北 荆州 联通	HTTP代理	4.76	126天 14小时 20分钟 19秒	3418	2019年5月28日 01:01
49	高匿代理服务	36.81.243.97:3128	中国 江西 南昌 移动	HTTP代理	6.96	21天 17小时 50分钟 39秒	30	2019年5月28日 01:01
0	高匿代理服务	115.152.84.210:9000	中国 江西 南昌 电信	HTTP代理	1.22	93天 22小时 12分钟 58秒	56	2019年5月28日 01:01
1	高匿代理服务	24.217.49.92:58060	中国 浙江 杭州 爱名网络	HTTP代理	5.53	126天 20小时 49分钟 4秒	3325	2019年5月28日 01:01
2	高匿代理服务	118.173.232.219:35732	中国 湖北 恩施 联通	HTTP代理	3.26	130天 3小时 33分钟 11秒	1171	2019年5月28日 01:01
3	高匿代理服务	194.8.131.85:46550	中国 江苏 南京 联通	HTTP代理	2.02	137天 10小时 10分钟 39秒	505	2019年5月28日 01:01
4	高匿代理服务	1.2.169.9:42068	中国 安徽 合肥 联通	HTTP代理	2.46	130天 3小时 51分钟 12秒	1186	2019年5月28日 01:01
5	高匿代理服务	62.182.48.124:33802	中国 广西 桂林 移动	HTTP代理	3.16	114天 8小时 22分钟 51秒	12055	2019年5月28日 01:01
6	高匿代理服务	115.218.223.59:9000	中国 浙江 温州 电信	HTTP代理	0.56	173天 18小时 23分钟 48秒	19	2019年5月28日 01:01
7	高匿代理服务	103.194.232.198:8090	中国 安徽 黄山 电信	HTTP代理	6.44	74天 12小时 25分钟 31秒	190	2019年5月28日 01:01
8	高匿代理服务	177.94.238.40:33420	中国 海南 保亭 电信	HTTP代理	3.9	126天 14小时 53分钟 28秒	1042	2019年5月28日 01:01
9	高匿代理服务	180.183.109.6:8080	中国 湖南 娄底 移动	HTTP代理	2.66	35天 13小时 43分钟 49秒	791	2019年5月28日 01:01
10	高匿代理服务	125.126.199.99:9999	中国 浙江 台州 电信	HTTP代理	2.61	124天 3小时 15分钟 7秒	89	2019年5月28日 01:01
11	高匿代理服务	182.253.122.86:8080	中国 四川 内江 移动	HTTP代理	2.02	106天 10小时 37分钟 25秒	3621	2019年5月28日 01:01
12	高匿代理服务	115.46.70.177:8123	中国 广西 北海 联通	HTTP代理	3.12	84天 8小时 29分钟 39秒	16	2019年5月28日 01:01
13	高匿代理服务	111.179.23.155:9999	中国 湖北 咸宁 电信	HTTP代理	2.2	136天 19小时 39分钟 2秒	57	2019年5月28日 01:01
14	高匿代理服务	112.85.164.108:9999	中国 江苏 南通 联通	HTTP代理	1.56	126天 10小时 57分钟 58秒	57	2019年5月28日 01:01
15	高匿代理服务	103.224.100.44:8080	中国 广东 中山 联通	HTTP代理	5.02	103天 3小时 45分钟 18秒	11802	2019年5月28日 01:01
16	高匿代理服务	180.183.127.150:8080	中国 新疆 乌鲁木齐 移动	HTTP代理	1.53	134天 22小时 48分钟 13秒	57	2019年5月28日 01:01
17	高匿代理服务	186.92.108.93:8080	中国 广西 贺州 联通	HTTP代理	4.35	168天 23小时 50分钟 0秒	26	2019年5月28日 01:01
18	高匿代理服务	176.113.127.10:33990	中国 广东 广州 天地祥云	HTTP代理	4.08	62天 22小时 55分钟 19秒	6541	2019年5月28日 01:01
19	高匿代理服务	1.20.103.253:45454	中国 山东 临沂 联通	HTTP代理	3.29	130天 3小时 18分钟 43秒	1188	2019年5月28日 01:01
20	高匿代理服务	114.224.46.136:9999	中国 江苏 无锡 电信	HTTP代理	4.45	121天 15小时 51分钟 33秒	81	2019年5月28日 01:01
21	高匿代理服务	138.117.84.66:50706	中国 北京 北京 电信	HTTP代理	2.94	145天 21小时 8分钟 19秒	2219	2019年5月28日 01:01
22	高匿代理服务	190.201.190.38:8080	中国 台湾  新世紀資通	HTTP代理	6.03	93天 18小时 34分钟 22秒	71	2019年5月28日 01:01
23	高匿代理服务	134.35.94.16:8080	中国 江西 鹰潭 联通	HTTP代理	6.23	76天 14小时 2分钟 52秒	157	2019年5月28日 01:01
24	高匿代理服务	37.200.121.179:50167	中国 重庆 重庆	HTTP代理	2.28	122天 11小时 45分钟 6秒	2551	2019年5月28日 01:01
25	高匿代理服务	202.61.120.149:30804	中国 香港	HTTP代理	5.59	116天 0小时 53分钟 35秒	269	2019年5月28日 01:01
26	高匿代理服务	114.239.29.254:9999	中国 江苏 宿迁 电信	HTTP代理	1.1	117天 21小时 49分钟 14秒	19	2019年5月28日 01:01
27	高匿代理服务	46.209.47.211:8080	中国 陕西 延安 电信	HTTP代理	5.29	93天 19小时 28分钟 45秒	179	2019年5月28日 01:01
28	高匿代理服务	138.185.60.216:44108	中国 广东 揭阳 联通	HTTP代理	2.25	171天 9小时 23分钟 42秒	1896	2019年5月28日 01:01
29	高匿代理服务	103.224.185.20:59541	中国 安徽 芜湖 电信	HTTP代理	1.75	154天 14小时 20分钟 54秒	378	2019年5月28日 01:01
30	高匿代理服务	187.62.202.28:8080	中国 山东 济南 移动	HTTP代理	2.26	169天 7小时 4分钟 4秒	547	2019年5月28日 01:01
31	高匿代理服务	112.95.22.133:8888	中国 广东 深圳 联通	HTTP代理	3.91	108天 15小时 35分钟 25秒	468	2019年5月28日 01:01
32	高匿代理服务	178.140.251.48:61144	中国 四川 成都 电信	HTTP代理	2.06	143天 21小时 8分钟 43秒	2023	2019年5月28日 01:01
33	高匿代理服务	203.81.74.46:8888	中国 贵州 铜仁 电信	HTTP代理	5.2	178天 12小时 33分钟 7秒	1434	2019年5月28日 01:01
34	高匿代理服务	179.108.196.48:35588	中国 辽宁 大连 小鸟云	HTTP代理	6.24	30天 23小时 52分钟 13秒	554	2019年5月28日 01:01
35	高匿代理服务	180.254.103.88:8080	中国 新疆 乌鲁木齐 移动	HTTP代理	3.01	99天 11小时 13分钟 23秒	29	2019年5月28日 01:01
36	高匿代理服务	27.25.196.52:9999	中国 湖北 鄂州 电信	HTTP代理	2.16	110天 16小时 44分钟 55秒	19	2019年5月28日 01:01
37	高匿代理服务	121.61.47.52:9999	中国 湖北 咸宁 电信	HTTP代理	1.29	139天 11小时 21分钟 22秒	112	2019年5月28日 01:01
38	高匿代理服务	193.68.19.133:34692	中国 新疆 阿克苏 电信	HTTP代理	2.21	126天 20小时 30分钟 29秒	3412	2019年5月28日 01:01
39	高匿代理服务	125.163.125.247:8080	中国 河南 新乡 新飞金信	HTTP代理	3.44	25天 19小时 0分钟 23秒	18	2019年5月28日 01:01
40	高匿代理服务	95.87.127.133:50607	中国 广东 茂名 电信	HTTP代理	2.46	94天 12小时 35分钟 53秒	2228	2019年5月28日 01:01
41	高匿代理服务	186.94.144.251:8080	中国 北京 北京 UCloud/联通/电信	HTTP代理	3.38	90天 17小时 56分钟 29秒	130	2019年5月28日 01:01
42	高匿代理服务	200.44.213.86:8080	中国 广东 深圳 铁通	HTTP代理	4.6	168天 23小时 23分钟 10秒	227	2019年5月28日 01:01
43	高匿代理服务	111.176.31.217:9999	中国 湖北 荆州 电信	HTTP代理	1.33	136天 17小时 55分钟 35秒	19	2019年5月28日 01:01
44	高匿代理服务	103.27.141.10:44813	中国 广西  移动/基站WiFi	HTTP代理	3.33	146天 14小时 8分钟 10秒	300	2019年5月28日 01:01
45	高匿代理服务	125.167.130.110:8080	中国 北京 北京 BGP多线	HTTP代理	3.66	32天 20小时 19分钟 52秒	87	2019年5月28日 01:01
46	高匿代理服务	121.61.46.252:9999	中国 湖北 咸宁 电信	HTTP代理	2.93	143天 12小时 19分钟 20秒	12	2019年5月28日 01:01
47	高匿代理服务	103.111.134.85:49896	中国 陕西 渭南 电信	HTTP代理	3.27	92天 9小时 22分钟 54秒	988	2019年5月28日 01:01
48	高匿代理服务	115.196.52.217:9000	中国 浙江 杭州 电信	HTTP代理	0.67	90天 14小时 6分钟 43秒	19	2019年5月28日 01:01
49	高匿代理服务	181.115.168.35:40857	中国 山东 烟台 联通	HTTP代理	2.59	135天 3小时 59分钟 40秒	2680	2019年5月28日 01:01
0	高匿代理服务	46.219.80.142:48502	中国 黑龙江 哈尔滨 联通	HTTP代理	4.52	79天 0小时 37分钟 5秒	5084	2019年5月28日 01:01
1	高匿代理服务	36.83.96.217:8080	中国 香港  新世界电讯	HTTP代理	2.75	130天 23小时 30分钟 41秒	251	2019年5月28日 01:01
2	高匿代理服务	118.172.51.206:44251	中国 山东 济宁 联通	HTTP代理	2.26	130天 6小时 19分钟 49秒	1273	2019年5月28日 01:01
3	高匿代理服务	138.128.247.178:9006	中国 北京 北京 首都在线/电信	HTTP代理	6.88	31天 6小时 58分钟 43秒	39	2019年5月28日 01:01
4	高匿代理服务	1.192.240.215:9999	中国 河南 郑州 电信	HTTP代理	2.65	113天 8小时 26分钟 51秒	105	2019年5月28日 01:01
5	高匿代理服务	58.55.192.255:9999	中国 湖北 鄂州 电信	HTTP代理	1.1	139天 9小时 54分钟 12秒	58	2019年5月28日 01:01
6	高匿代理服务	177.130.95.119:8080	中国 浙江 杭州 铁通	HTTP代理	6.52	93天 10小时 36分钟 55秒	7413	2019年5月28日 01:01
7	高匿代理服务	46.33.253.29:33384	中国 江苏 无锡 电信/联通/移动	HTTP代理	2.31	179天 4小时 20分钟 44秒	8644	2019年5月28日 01:01
8	高匿代理服务	189.76.83.2:58897	中国 广东 珠海 电信	HTTP代理	4.78	179天 7小时 51分钟 22秒	6853	2019年5月28日 01:01
9	高匿代理服务	110.52.234.78:9999	中国 湖南 岳阳 联通	HTTP代理	5.86	155天 3小时 3分钟 42秒	756	2019年5月28日 01:01
10	高匿代理服务	177.66.54.109:8080	中国 黑龙江 大庆 电信	HTTP代理	2.37	71天 20小时 12分钟 49秒	18	2019年5月28日 01:01
11	高匿代理服务	120.83.109.209:9999	中国 广东 揭阳 联通	HTTP代理	3.87	75天 17小时 13分钟 33秒	17	2019年5月28日 01:01
12	高匿代理服务	212.237.18.249:2000	中国 河南 郑州 电信	HTTP代理	6.81	132天 16小时 13分钟 2秒	1304	2019年5月28日 01:01
13	高匿代理服务	112.85.174.92:9999	中国 江苏 南通 联通	HTTP代理	1.61	148天 11小时 18分钟 6秒	19	2019年5月28日 01:01
14	高匿代理服务	190.198.75.48:8080	中国 辽宁 盘锦 电信	HTTP代理	4.61	75天 16小时 25分钟 51秒	115	2019年5月28日 01:01
15	高匿代理服务	185.195.47.166:37647	中国 安徽 合肥 电信	HTTP代理	1.65	130天 5小时 18分钟 28秒	1175	2019年5月28日 01:01
16	高匿代理服务	189.126.76.48:54484	中国 山西 大同 联通	HTTP代理	4.61	152天 17小时 22分钟 1秒	667	2019年5月28日 01:01
17	高匿代理服务	117.90.7.129:9000	中国 江苏 镇江 电信	HTTP代理	3.37	175天 16小时 52分钟 18秒	17	2019年5月28日 01:01
18	高匿代理服务	46.216.163.153:44533	中国 宁夏 石嘴山 联通	HTTP代理	4.72	143天 11小时 37分钟 48秒	621	2019年5月28日 01:01
19	高匿代理服务	182.44.224.172:9999	中国 山东 日照 电信	HTTP代理	1.58	110天 16小时 48分钟 10秒	19	2019年5月28日 01:01
20	高匿代理服务	101.16.126.181:8080	中国 河北 石家庄 联通	HTTP代理	0.58	44天 20小时 16分钟 20秒	262	2019年5月28日 01:01
21	高匿代理服务	110.44.119.76:8080	中国 安徽 铜陵 铁通	HTTP代理	2.85	133天 1小时 44分钟 45秒	95	2019年5月28日 01:01
22	高匿代理服务	190.204.140.30:8080	中国 辽宁 阜新 电信	HTTP代理	3.99	87天 19小时 59分钟 16秒	49	2019年5月28日 01:01
23	高匿代理服务	150.95.162.240:9001	中国 河南 郑州 联通	HTTP代理	1.72	170天 21小时 13分钟 15秒	112	2019年5月28日 01:01
24	高匿代理服务	110.78.156.71:53281	中国 福建 南平 联通	HTTP代理	3.33	124天 8小时 19分钟 51秒	242	2019年5月28日 01:01
25	高匿代理服务	175.23.11.164:8080	中国 吉林 辽源 联通	HTTP代理	0.63	24天 1小时 9分钟 6秒	645	2019年5月28日 01:01
26	高匿代理服务	125.27.37.40:8080	中国 安徽 淮北 联通	HTTP代理	2.45	21天 23小时 41分钟 48秒	109	2019年5月28日 01:01
27	高匿代理服务	111.177.167.149:9999	中国 湖北 随州 电信	HTTP代理	1.11	150天 14小时 4分钟 16秒	138	2019年5月28日 01:01
28	高匿代理服务	180.119.141.89:9999	中国 江苏 扬州 电信	HTTP代理	1.15	112天 2小时 17分钟 12秒	1049	2019年5月28日 01:01
29	高匿代理服务	27.156.119.52:9999	中国 福建 福州 电信	HTTP代理	2.04	126天 9小时 49分钟 16秒	19	2019年5月28日 01:01
30	高匿代理服务	59.62.165.118:9999	中国 江西 宜春 电信	HTTP代理	1.4	124天 1小时 3分钟 7秒	19	2019年5月28日 01:01
31	高匿代理服务	186.14.28.47:8080	中国 辽宁 大连 教育网	HTTP代理	5.13	21天 18小时 2分钟 14秒	16	2019年5月28日 01:01
